Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
gL,7.0,gL_1,7.5,0.1125,0.0
gL,7.0,gL_1,8.5,0.0545833333333,0.0
gL,7.0,gL_1,9.5,0.0210416666667,0.0
gL,7.0,gL_1,10.5,0.00395833333333,0.0
gL,7.0,gL_1,11.5,0.000416666666667,0.0
gL,7.0,gL_1,12.5,0.0,0.0
gL,7.0,gL_1,13.5,0.0,0.0
gL,7.0,gL_1,14.5,0.0,0.0
gL,8.0,gL_1,0.5,37.7697916667,47.1583333333
gL,8.0,gL_1,1.5,23.504375,26.945
gL,8.0,gL_1,2.5,8.28458333333,6.7425
gL,8.0,gL_1,3.5,1.66020833333,0.328333333333
gL,8.0,gL_1,4.5,0.779166666666,0.1075
gL,8.0,gL_1,5.5,0.432291666667,0.0325
gL,8.0,gL_1,6.5,0.226458333333,0.00666666666666
gL,8.0,gL_1,7.5,0.1125,0.0
gL,8.0,gL_1,8.5,0.0545833333333,0.0
gL,8.0,gL_1,9.5,0.0210416666667,0.0
gL,8.0,gL_1,10.5,0.00395833333333,0.0
gL,8.0,gL_1,11.5,0.000416666666667,0.0
gL,8.0,gL_1,12.5,0.0,0.0
gL,8.0,gL_1,13.5,0.0,0.0
gL,8.0,gL_1,14.5,0.0,0.0
gL,9.0,gL_1,0.5,45.42,56.1116666667
gL,9.0,gL_1,1.5,31.7879166667,36.7166666667
gL,9.0,gL_1,2.5,14.6241666667,14.0241666667
gL,9.0,gL_1,3.5,1.86229166667,0.415833333333
gL,9.0,gL_1,4.5,0.795625,0.0625
gL,9.0,gL_1,5.5,0.436458333333,0.015
gL,9.0,gL_1,6.5,0.226458333333,0.00166666666667
gL,9.0,gL_1,7.5,0.1125,0.0
gL,9.0,gL_1,8.5,0.0545833333333,0.0
gL,9.0,gL_1,9.5,0.0210416666667,0.0
gL,9.0,gL_1,10.5,0.00395833333333,0.0
gL,9.0,gL_1,11.5,0.000416666666667,0.0
gL,9.0,gL_1,12.5,0.0,0.0
gL,9.0,gL_1,13.5,0.0,0.0
gL,9.0,gL_1,14.5,0.0,0.0
gL,10.0,gL_1,0.5,52.4629166667,64.0608333333
gL,10.0,gL_1,1.5,38.8022916667,45.075
gL,10.0,gL_1,2.5,19.4535416667,19.6466666667
gL,10.0,gL_1,3.5,2.12479166667,0.526666666667
gL,10.0,gL_1,4.5,0.832708333333,0.0266666666667
gL,10.0,gL_1,5.5,0.437083333333,0.00833333333333
gL,10.0,gL_1,6.5,0.226458333333,0.0
gL,10.0,gL_1,7.5,0.1125,0.0
gL,10.0,gL_1,8.5,0.0545833333333,0.0
gL,10.0,gL_1,9.5,0.0210416666667,0.0
gL,10.0,gL_1,10.5,0.00395833333333,0.0
gL,10.0,gL_1,11.5,0.000416666666667,0.0
gL,10.0,gL_1,12.5,0.0,0.0
gL,10.0,gL_1,13.5,0.0,0.0
gL,10.0,gL_1,14.5,0.0,0.0
gL,11.0,gL_1,0.5,59.1239583333,71.5366666667
gL,11.0,gL_1,1.5,46.860625,54.1633333333
gL,11.0,gL_1,2.5,23.8877083333,24.7366666667
gL,11.0,gL_1,3.5,4.20916666667,2.55083333333
gL,11.0,gL_1,4.5,0.838541666666,0.0133333333333
gL,11.0,gL_1,5.5,0.437083333333,0.000833333333333
gL,11.0,gL_1,6.5,0.226458333333,0.0
gL,11.0,gL_1,7.5,0.1125,0.0
gL,11.0,gL_1,8.5,0.0545833333333,0.0
gL,11.0,gL_1,9.5,0.0210416666667,0.0
gL,11.0,gL_1,10.5,0.00395833333333,0.0
gL,11.0,gL_1,11.5,0.000416666666667,0.0
gL,11.0,gL_1,12.5,0.0,0.0
gL,11.0,gL_1,13.5,0.0,0.0
gL,11.0,gL_1,14.5,0.0,0.0
gL,12.0,gL_1,0.5,67.1908333333,80.4191666667
gL,12.0,gL_1,1.5,53.8002083333,61.8541666667
gL,12.0,gL_1,2.5,38.6160416667,41.1866666667
gL,12.0,gL_1,3.5,4.72395833334,2.94916666667
gL,12.0,gL_1,4.5,0.841458333333,0.005
gL,12.0,gL_1,5.5,0.437083333333,0.0
gL,12.0,gL_1,6.5,0.226458333333,0.0
gL,12.0,gL_1,7.5,0.1125,0.0
gL,12.0,gL_1,8.5,0.0545833333333,0.0
gL,12.0,gL_1,9.5,0.0210416666667,0.0
gL,12.0,gL_1,10.5,0.00395833333333,0.0
gL,12.0,gL_1,11.5,0.000416666666667,0.0
gL,12.0,gL_1,12.5,0.0,0.0
gL,12.0,gL_1,13.5,0.0,0.0
gL,12.0,gL_1,14.5,0.0,0.0
gL,13.0,gL_1,0.5,73.5402083333,86.6933333333
gL,13.0,gL_1,1.5,63.9808333333,73.1758333333
gL,13.0,gL_1,2.5,43.935,46.9858333333
gL,13.0,gL_1,3.5,6.40666666667,4.95583333333
gL,13.0,gL_1,4.5,0.843541666666,0.000833333333333
gL,13.0,gL_1,5.5,0.437083333333,0.0
gL,13.0,gL_1,6.5,0.226458333333,0.0
gL,13.0,gL_1,7.5,0.1125,0.0
gL,13.0,gL_1,8.5,0.0545833333333,0.0
gL,13.0,gL_1,9.5,0.0210416666667,0.0
gL,13.0,gL_1,10.5,0.00395833333333,0.0
gL,13.0,gL_1,11.5,0.000416666666667,0.0
gL,13.0,gL_1,12.5,0.0,0.0
gL,13.0,gL_1,13.5,0.0,0.0
gL,13.0,gL_1,14.5,0.0,0.0
gL,14.0,gL_1,0.5,79.94375,93.0683333333
gL,14.0,gL_1,1.5,71.15,80.5958333333
gL,14.0,gL_1,2.5,54.7079166667,58.895
gL,14.0,gL_1,3.5,7.93083333333,6.45583333334
gL,14.0,gL_1,4.5,0.843541666666,0.0
gL,14.0,gL_1,5.5,0.437083333333,0.0
gL,14.0,gL_1,6.5,0.226458333333,0.0
gL,14.0,gL_1,7.5,0.1125,0.0
gL,14.0,gL_1,8.5,0.0545833333333,0.0
gL,14.0,gL_1,9.5,0.0210416666667,0.0
gL,14.0,gL_1,10.5,0.00395833333333,0.0
gL,14.0,gL_1,11.5,0.000416666666667,0.0
gL,14.0,gL_1,12.5,0.0,0.0
gL,14.0,gL_1,13.5,0.0,0.0
gL,14.0,gL_1,14.5,0.0,0.0
gL,15.0,gL_1,0.5,85.3133333333,98.3908333333
gL,15.0,gL_1,1.5,77.3397916667,86.855
gL,15.0,gL_1,2.5,62.5975,67.3591666667
gL,15.0,gL_1,3.5,12.0222916667,10.9175
gL,15.0,gL_1,4.5,0.843541666666,0.0
gL,15.0,gL_1,5.5,0.437083333333,0.0
gL,15.0,gL_1,6.5,0.226458333333,0.0
gL,15.0,gL_1,7.5,0.1125,0.0
gL,15.0,gL_1,8.5,0.0545833333333,0.0
gL,15.0,gL_1,9.5,0.0210416666667,0.0
gL,15.0,gL_1,10.5,0.00395833333333,0.0
gL,15.0,gL_1,11.5,0.000416666666667,0.0
gL,15.0,gL_1,12.5,0.0,0.0
gL,15.0,gL_1,13.5,0.0,0.0
gL,15.0,gL_1,14.5,0.0,0.0
gL,16.0,gL_1,0.5,90.8572916667,103.465833333
gL,16.0,gL_1,1.5,83.4835416667,92.695
gL,16.0,gL_1,2.5,73.22,78.47
gL,16.0,gL_1,3.5,16.0827083333,15.1741666667
gL,16.0,gL_1,4.5,0.843541666666,0.0
gL,16.0,gL_1,5.5,0.437083333333,0.0
gL,16.0,gL_1,6.5,0.226458333333,0.0
gL,16.0,gL_1,7.5,0.1125,0.0
gL,16.0,gL_1,8.5,0.0545833333333,0.0
gL,16.0,gL_1,9.5,0.0210416666667,0.0
gL,16.0,gL_1,10.5,0.00395833333333,0.0
gL,16.0,gL_1,11.5,0.000416666666667,0.0
gL,16.0,gL_1,12.5,0.0,0.0
gL,16.0,gL_1,13.5,0.0,0.0
gL,16.0,gL_1,14.5,0.0,0.0
gL,17.0,gL_1,0.5,95.5745833333,107.569166667
gL,17.0,gL_1,1.5,88.844375,97.8983333333
gL,17.0,gL_1,2.5,76.4995833333,81.4308333333
gL,17.0,gL_1,3.5,21.615625,20.6966666667
gL,17.0,gL_1,4.5,0.843541666666,0.0
gL,17.0,gL_1,5.5,0.437083333333,0.0
gL,17.0,gL_1,6.5,0.226458333333,0.0
gL,17.0,gL_1,7.5,0.1125,0.0
gL,17.0,gL_1,8.5,0.0545833333333,0.0
gL,17.0,gL_1,9.5,0.0210416666667,0.0
gL,17.0,gL_1,10.5,0.00395833333333,0.0
gL,17.0,gL_1,11.5,0.000416666666667,0.0
gL,17.0,gL_1,12.5,0.0,0.0
gL,17.0,gL_1,13.5,0.0,0.0
gL,17.0,gL_1,14.5,0.0,0.0
gL,18.0,gL_1,0.5,100.567916667,112.130833333
gL,18.0,gL_1,1.5,94.20125,102.524166667
gL,18.0,gL_1,2.5,83.2639583333,87.7941666667
gL,18.0,gL_1,3.5,29.5314583333,29.13
gL,18.0,gL_1,4.5,0.843541666666,0.0
gL,18.0,gL_1,5.5,0.437083333333,0.0
gL,18.0,gL_1,6.5,0.226458333333,0.0
gL,18.0,gL_1,7.5,0.1125,0.0
gL,18.0,gL_1,8.5,0.0545833333333,0.0
gL,18.0,gL_1,9.5,0.0210416666667,0.0
gL,18.0,gL_1,10.5,0.00395833333333,0.0
gL,18.0,gL_1,11.5,0.000416666666667,0.0
gL,18.0,gL_1,12.5,0.0,0.0
gL,18.0,gL_1,13.5,0.0,0.0
gL,18.0,gL_1,14.5,0.0,0.0
gL,19.0,gL_1,0.5,105.541666667,116.489166667
gL,19.0,gL_1,1.5,98.9541666666,106.694166667
gL,19.0,gL_1,2.5,89.220625,93.1825
gL,19.0,gL_1,3.5,29.3702083333,28.58
gL,19.0,gL_1,4.5,0.843541666666,0.0
gL,19.0,gL_1,5.5,0.437083333333,0.0
gL,19.0,gL_1,6.5,0.226458333333,0.0
gL,19.0,gL_1,7.5,0.1125,0.0
gL,19.0,gL_1,8.5,0.0545833333333,0.0
gL,19.0,gL_1,9.5,0.0210416666667,0.0
gL,19.0,gL_1,10.5,0.00395833333333,0.0
gL,19.0,gL_1,11.5,0.000416666666667,0.0
gL,19.0,gL_1,12.5,0.0,0.0
gL,19.0,gL_1,13.5,0.0,0.0
gL,19.0,gL_1,14.5,0.0,0.0
gL,20.0,gL_1,0.5,109.822916667,120.356666667
gL,20.0,gL_1,1.5,103.277291667,110.354166667
gL,20.0,gL_1,2.5,93.8583333333,97.5025000001
gL,20.0,gL_1,3.5,33.8045833333,32.9383333333
