Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
delay_CI_CI,20.75,1.0,1.0,0.466666666667,0.8,0.0,0.0,0.043,0.0,0.884,0.884,0.283,0.614,1.0,1.0,0.657,0.923
delay_CI_CI,21.0,1.0,1.0,0.433333333333,0.833333333333,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.653,1.0,1.0,0.626,0.944
delay_CI_CI,21.25,1.0,1.0,0.4,0.8,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.614,1.0,1.0,0.594,0.923
delay_CI_CI,21.5,1.0,1.0,0.466666666667,0.8,0.0,0.0,0.043,0.0,0.884,0.884,0.283,0.614,1.0,1.0,0.657,0.923
delay_CI_CI,21.75,1.0,1.0,0.466666666667,0.7,0.0,0.0,0.043,0.0,0.884,0.884,0.283,0.506,1.0,1.0,0.657,0.853
delay_CI_CI,22.0,1.0,1.0,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.884,0.884,0.343,0.614,1.0,1.0,0.717,0.923
delay_CI_CI,22.25,1.0,1.0,0.533333333333,0.866666666667,0.0,0.0,0.007,0.0,0.884,0.884,0.343,0.693,1.0,1.0,0.717,0.962
delay_CI_CI,22.5,1.0,1.0,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.884,0.884,0.313,0.653,1.0,1.0,0.687,0.944
delay_CI_CI,22.75,1.0,1.0,0.533333333333,0.766666666667,0.0,0.0,0.007,0.0,0.884,0.884,0.343,0.577,1.0,1.0,0.717,0.901
delay_CI_CI,23.0,1.0,1.0,0.433333333333,0.766666666667,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.577,1.0,1.0,0.626,0.901
delay_CI_CI,23.25,1.0,1.0,0.433333333333,0.666666666667,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.472,1.0,1.0,0.626,0.827
delay_CI_CI,23.5,1.0,1.0,0.433333333333,0.7,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.506,1.0,1.0,0.626,0.853
delay_CI_CI,23.75,1.0,1.0,0.433333333333,0.766666666667,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.577,1.0,1.0,0.626,0.901
delay_CI_CI,24.0,1.0,1.0,0.4,0.8,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.614,1.0,1.0,0.594,0.923
delay_CI_CI,24.25,1.0,1.0,0.4,0.766666666667,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.577,1.0,1.0,0.594,0.901
delay_CI_CI,24.5,1.0,1.0,0.333333333333,0.766666666667,0.0,0.0,0.415,0.0,0.884,0.884,0.173,0.577,1.0,1.0,0.528,0.901
delay_CI_CI,24.75,1.0,1.0,0.366666666667,0.766666666667,0.0,0.0,0.276,0.0,0.884,0.884,0.199,0.577,1.0,1.0,0.561,0.901
