Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
delay_CI_CI,0.5,9.07658605989,2.61282851729,1.78745438757,0.035436493795
delay_CI_CI,0.75,9.13987041736,2.68389094005,1.78129971326,0.0369904628518
delay_CI_CI,1.0,9.20526104213,2.66662395782,1.79029568843,0.0369844114585
delay_CI_CI,1.25,9.11855939511,2.69299297954,1.78662574756,0.0391612503465
delay_CI_CI,1.5,9.13315925568,2.66916816124,1.79097162932,0.0387259891194
delay_CI_CI,1.75,9.15082104876,2.69523796608,1.7902036032,0.0415371958732
delay_CI_CI,2.0,9.12289421131,2.64126148785,1.78725238688,0.0388076503502
delay_CI_CI,2.25,9.12976368424,2.64194420125,1.78289262161,0.040169013412
delay_CI_CI,2.5,9.09713656665,2.62120552789,1.7839128256,0.0395159300155
delay_CI_CI,2.75,9.11444145158,2.60264884656,1.78323949829,0.0390076247376
delay_CI_CI,3.0,9.12994851627,2.63727927844,1.78129110668,0.0375165489685
delay_CI_CI,3.25,9.12775945569,2.65821480042,1.77954830111,0.0370163217199
delay_CI_CI,3.5,9.16864237524,2.66061856677,1.78305353385,0.039089645879
delay_CI_CI,3.75,9.11652654742,2.63555126906,1.78132967958,0.0409134719985
delay_CI_CI,4.0,9.150085274,2.61749147242,1.78284405744,0.0392404528006
delay_CI_CI,4.25,9.14160321062,2.59435539873,1.77847860204,0.0408657302261
delay_CI_CI,4.5,9.128710308,2.6030185345,1.77819743389,0.0382541783741
delay_CI_CI,4.75,9.07406833117,2.56725005939,1.77901726931,0.0375656112937
delay_CI_CI,5.0,9.11213011034,2.59772082094,1.77641864884,0.0391983381204
delay_CI_CI,5.25,9.10205613325,2.59275526136,1.77179049048,0.0387948523492
delay_CI_CI,5.5,9.16664456795,2.59864090046,1.77130945048,0.0388296823389
delay_CI_CI,5.75,9.24186767418,2.61264853167,1.76980396566,0.0368853980195
delay_CI_CI,6.0,9.24619532171,2.62121164868,1.77815910051,0.037095460796
delay_CI_CI,6.25,9.33889627771,2.6597167612,1.76397660464,0.0374301260354
delay_CI_CI,6.5,9.31195087229,2.62617710747,1.76253038389,0.03638212995
delay_CI_CI,6.75,9.37584487568,2.65035988819,1.76426441636,0.0353968657556
delay_CI_CI,7.0,9.38174120442,2.67605475924,1.76318040537,0.0326707739557
delay_CI_CI,7.25,9.44946169002,2.67067659038,1.76687194861,0.0350937183489
delay_CI_CI,7.5,9.4480821077,2.65252211285,1.77334990698,0.0361279166759
delay_CI_CI,7.75,9.45521359152,2.65076084479,1.76646384139,0.0347565267177
delay_CI_CI,8.0,9.52354165013,2.67012664143,1.78112635803,0.0348019374177
delay_CI_CI,8.25,9.53916963757,2.66923226832,1.77446663178,0.0351680630599
delay_CI_CI,8.5,9.48740572267,2.66175249179,1.76972229186,0.0356326675131
delay_CI_CI,8.75,9.49166119999,2.61711220681,1.76140849685,0.0372318279741
delay_CI_CI,9.0,9.49121093166,2.60932979377,1.76267802628,0.0366636183766
delay_CI_CI,9.25,9.48011957239,2.62945493754,1.74703484476,0.0358811182149
delay_CI_CI,9.5,9.46594722379,2.6648334409,1.75153371576,0.0348105218496
delay_CI_CI,9.75,9.39465243464,2.64204977369,1.75420493444,0.034218447552
delay_CI_CI,10.0,9.44842069299,2.64895056505,1.75374737689,0.0372560564784
delay_CI_CI,10.25,9.43927935078,2.6527182682,1.76032081698,0.0367672061663
delay_CI_CI,10.5,9.42064502328,2.70774025759,1.75054773637,0.0364517125364
delay_CI_CI,10.75,9.43760360382,2.68264205192,1.75929697991,0.0402798292727
delay_CI_CI,11.0,9.5408402501,2.70357062161,1.7711050574,0.0382404501309
delay_CI_CI,11.25,9.46005637535,2.68176470138,1.76335367623,0.0351384122622
delay_CI_CI,11.5,9.69209884502,2.69131170848,1.76028755034,0.0372964345708
delay_CI_CI,11.75,9.69966487813,2.69339346367,1.76458299414,0.0391711224154
delay_CI_CI,12.0,9.72245329438,2.69401289512,1.77084225094,0.0389502093287
delay_CI_CI,12.25,9.7562732873,2.69845538831,1.77932087159,0.0360840897991
delay_CI_CI,12.5,9.76343646624,2.71102838569,1.78070656627,0.0363076782662
delay_CI_CI,12.75,9.85420230266,2.73284774173,1.79497915737,0.0386152966027
delay_CI_CI,13.0,9.88714864709,2.71025227188,1.79739683756,0.0381251560325
delay_CI_CI,13.25,9.89908515325,2.71577891843,1.800143323,0.0366239637399
delay_CI_CI,13.5,9.92018046659,2.68574547359,1.80765482523,0.0364787256759
delay_CI_CI,13.75,9.90925318497,2.70904842898,1.80287856515,0.0414309747083
delay_CI_CI,14.0,10.0240333474,2.7240108175,1.80520012073,0.0393873443709
delay_CI_CI,14.25,9.8777805049,2.713057607,1.80725624399,0.0399370925163
delay_CI_CI,14.5,9.80358725212,2.70984675345,1.81334061659,0.0410138385433
delay_CI_CI,14.75,9.8583316668,2.69574030258,1.81591195095,0.0407450258202
delay_CI_CI,15.0,9.99691756145,2.70847391537,1.82816976241,0.0376589772186
delay_CI_CI,15.25,10.0483370914,2.70842686785,1.82691423643,0.0395772979285
delay_CI_CI,15.5,10.0997889991,2.71405943406,1.83131947638,0.0411431730233
delay_CI_CI,15.75,10.0571921815,2.76168272785,1.84507333983,0.0398731630812
delay_CI_CI,16.0,10.0146838993,2.72660909359,1.82666767407,0.0402365593404
delay_CI_CI,16.25,9.97296889438,2.76349369639,1.82892650747,0.0408941995197
delay_CI_CI,16.5,10.0223901605,2.77052452546,1.82014521404,0.0388151230708
delay_CI_CI,16.75,10.0780729942,2.77088770833,1.81869032264,0.0408397903588
delay_CI_CI,17.0,10.0509750402,2.77893099224,1.81112381596,0.0428826935834
delay_CI_CI,17.25,10.0746041136,2.7852616282,1.84396920631,0.0420674132423
delay_CI_CI,17.5,9.94167269322,2.78552484163,1.86131211132,0.0406499681849
delay_CI_CI,17.75,10.0591566562,2.80476389233,1.86044041361,0.0373939389993
delay_CI_CI,18.0,10.0808316934,2.82108015828,1.86115657768,0.0373276625739
delay_CI_CI,18.25,10.2053745383,2.81099413173,1.8728397392,0.038080441202
delay_CI_CI,18.5,10.0864454972,2.8003518548,1.86000910649,0.040691637355
delay_CI_CI,18.75,10.1920398569,2.79645892797,1.85328673682,0.0404145375406
delay_CI_CI,19.0,10.1054145215,2.78984419781,1.86635342942,0.0412015549933
delay_CI_CI,19.25,10.1638250365,2.80231784491,1.86001010063,0.0444683175661
delay_CI_CI,19.5,10.16407495,2.8042814465,1.86729658539,0.0420909280618
delay_CI_CI,19.75,10.228059558,2.76392122865,1.88231339595,0.0429385378219
delay_CI_CI,20.0,10.1645125172,2.7840500615,1.88753407588,0.0417402806995
delay_CI_CI,20.25,10.1610003048,2.79789532261,1.87159260783,0.0456361539773
delay_CI_CI,20.5,10.2781625603,2.81187908555,1.89148628299,0.0467095711827
delay_CI_CI,20.75,10.0506595966,2.82628639255,1.88294719539,0.0421188446762
delay_CI_CI,21.0,10.1087642139,2.81700067723,1.89390689666,0.0420122924619
delay_CI_CI,21.25,9.97706644877,2.83654752035,1.89218315748,0.0422043011413
delay_CI_CI,21.5,9.98865777479,2.80939894187,1.88211745459,0.0406303143026
delay_CI_CI,21.75,10.04876032,2.81999332501,1.89883819638,0.0375706034431
