Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
delay_CI_CI,0.5,0.43096218794,3.90603456104,0.783440329115,0.12709602031
delay_CI_CI,0.75,0.437356297516,3.87636789829,0.791480949938,0.127177078796
delay_CI_CI,1.0,0.431390726505,3.87624115727,0.780329556702,0.125246236579
delay_CI_CI,1.25,0.4280387125,3.72716027089,0.791642918093,0.124452784255
delay_CI_CI,1.5,0.419847138406,3.7342173276,0.796477047522,0.12160552452
delay_CI_CI,1.75,0.424493882506,3.71089837746,0.801534649897,0.127207661105
delay_CI_CI,2.0,0.421564707103,3.74650740566,0.808933450034,0.123943149269
delay_CI_CI,2.25,0.414832640783,3.64322714073,0.79853462233,0.120891649056
delay_CI_CI,2.5,0.420121835296,3.7266215231,0.795700955394,0.123191023362
delay_CI_CI,2.75,0.423209971035,3.75064310445,0.815381267056,0.133203183268
delay_CI_CI,3.0,0.423791377351,3.65454999898,0.81837470514,0.13146089464
delay_CI_CI,3.25,0.425559655611,3.72122194017,0.830478234189,0.128293248769
delay_CI_CI,3.5,0.41083194749,3.68926600468,0.829366487646,0.117798812146
delay_CI_CI,3.75,0.418464105276,3.72242199238,0.836281655547,0.132565966674
delay_CI_CI,4.0,0.42396440369,3.74406616065,0.845556038447,0.135749226089
delay_CI_CI,4.25,0.424538010609,3.64040431201,0.845599045289,0.138563009404
delay_CI_CI,4.5,0.423144947803,3.70932552731,0.842318761137,0.134548110322
delay_CI_CI,4.75,0.412630657249,3.64686363506,0.837533885494,0.139576430019
delay_CI_CI,5.0,0.417843403888,3.81176410546,0.843798956806,0.143302687414
delay_CI_CI,5.25,0.423150767092,3.78703131318,0.86219739432,0.140429896175
delay_CI_CI,5.5,0.428551785037,3.65120169597,0.875842904582,0.137556191946
delay_CI_CI,5.75,0.421543871752,3.7347909319,0.870038658962,0.134723112626
delay_CI_CI,6.0,0.408685592308,3.64995480863,0.885777724613,0.128033640828
delay_CI_CI,6.25,0.415040313252,3.68053534333,0.901591272728,0.141381057235
delay_CI_CI,6.5,0.411372187447,3.62041702268,0.901409265441,0.137402151148
delay_CI_CI,6.75,0.42947890659,3.7372574003,0.928099863388,0.138991237042
delay_CI_CI,7.0,0.428157929697,3.69168704981,0.958325349514,0.138096034026
delay_CI_CI,7.25,0.422305959379,3.596317262,0.9330598179,0.134968728468
delay_CI_CI,7.5,0.422310624784,3.66652235052,0.944874635628,0.138613816584
delay_CI_CI,7.75,0.427025331459,3.75139129286,0.95271020809,0.13290044125
delay_CI_CI,8.0,0.428084560562,3.70045521576,0.978387567329,0.137806135787
delay_CI_CI,8.25,0.432152261007,3.81829210221,0.97394046563,0.134093089721
delay_CI_CI,8.5,0.423804465211,3.78295715461,0.994214180274,0.136081221303
delay_CI_CI,8.75,0.424513119138,3.80006023414,0.991366888357,0.12730492544
delay_CI_CI,9.0,0.429091373559,3.86233728993,1.00746845469,0.135908799521
delay_CI_CI,9.25,0.435838831937,3.78495422154,1.05683382046,0.136074721664
delay_CI_CI,9.5,0.429224186497,3.72888310969,1.05663107367,0.130975230114
delay_CI_CI,9.75,0.431515848816,3.82033406194,1.06173787354,0.128772602984
delay_CI_CI,10.0,0.437384457748,3.8545366923,1.0896131833,0.116505171747
delay_CI_CI,10.25,0.433693958739,3.9427748448,1.08474933775,0.126847027591
delay_CI_CI,10.5,0.421113815218,3.82165102348,1.06865840611,0.123189814578
delay_CI_CI,10.75,0.432445444419,3.94672005821,1.11685730075,0.118684729069
delay_CI_CI,11.0,0.432996171634,3.95074108111,1.09988887375,0.124197316737
delay_CI_CI,11.25,0.428913796189,3.88964159863,1.09097488029,0.108630185502
delay_CI_CI,11.5,0.424994918926,3.81558621327,1.09521722125,0.106231074301
delay_CI_CI,11.75,0.439151271344,3.96274554052,1.09431605658,0.112304669162
delay_CI_CI,12.0,0.437248203057,3.74665192433,1.10658254393,0.104597202525
delay_CI_CI,12.25,0.432323041471,3.99739283728,1.15687220676,0.111790700308
delay_CI_CI,12.5,0.432710977959,3.97327928686,1.10329123446,0.111472831438
delay_CI_CI,12.75,0.438629000884,3.91571644281,1.12975022569,0.111441618092
delay_CI_CI,13.0,0.432533257345,3.9343801722,1.13503158335,0.101299743836
delay_CI_CI,13.25,0.43839895953,3.84461601366,1.14508781566,0.102719744297
delay_CI_CI,13.5,0.435795557964,3.90976522811,1.14510787589,0.0987799929989
delay_CI_CI,13.75,0.438693770933,3.98104127733,1.18090105701,0.104471871735
delay_CI_CI,14.0,0.438741566392,3.95815925628,1.18830097281,0.106766912565
delay_CI_CI,14.25,0.440585179327,3.95973296279,1.16704992301,0.107470147164
delay_CI_CI,14.5,0.446029139133,3.96630657267,1.14148384377,0.104971904754
delay_CI_CI,14.75,0.446687180635,3.99859837802,1.1820992674,0.1052063612
delay_CI_CI,15.0,0.442386497379,3.89032069376,1.16270885996,0.0944441932711
delay_CI_CI,15.25,0.440696915458,3.94737551242,1.1920766076,0.0997176317034
delay_CI_CI,15.5,0.433656436026,3.94692521323,1.21734159781,0.102709339984
delay_CI_CI,15.75,0.446298226712,3.88534516569,1.1958131527,0.0986046966578
delay_CI_CI,16.0,0.443718529789,3.97849190601,1.20639277085,0.100597895952
delay_CI_CI,16.25,0.446556847222,3.99624786813,1.26404734945,0.0902284226899
delay_CI_CI,16.5,0.443330347031,3.90981752292,1.22293416484,0.100407380189
delay_CI_CI,16.75,0.440745166849,3.94768769416,1.22592560366,0.0870848963884
delay_CI_CI,17.0,0.44631455847,3.96829616368,1.19761005486,0.0943039796089
delay_CI_CI,17.25,0.440527996567,3.91638372318,1.24198326459,0.0888212476573
delay_CI_CI,17.5,0.437021956,3.91624747017,1.21069932486,0.095409973329
delay_CI_CI,17.75,0.440460308945,3.87749127877,1.20713241257,0.0914326579449
delay_CI_CI,18.0,0.446419671416,3.97623605849,1.26014558037,0.0924172625283
delay_CI_CI,18.25,0.444758260815,3.9157520387,1.26618443359,0.0930068238083
delay_CI_CI,18.5,0.442571064355,3.9349315615,1.23611046691,0.0877077593666
delay_CI_CI,18.75,0.453239714125,3.92185396136,1.29100829807,0.0884055871813
delay_CI_CI,19.0,0.45065130459,3.93867970116,1.27585487927,0.0863676076675
delay_CI_CI,19.25,0.443698418832,3.86856429794,1.27787599506,0.0936239076976
delay_CI_CI,19.5,0.451589608976,3.85657804994,1.2943077508,0.0986098106289
delay_CI_CI,19.75,0.449113875182,3.95392250415,1.25476196911,0.0958429229224
delay_CI_CI,20.0,0.458324945605,3.9454022435,1.30694641479,0.0948724972313
delay_CI_CI,20.25,0.449263753091,3.92028238454,1.27839155206,0.0971386166428
delay_CI_CI,20.5,0.449699307463,3.90759989522,1.30914984223,0.0919175224551
delay_CI_CI,20.75,0.437598179786,3.8565211655,1.29768714598,0.0879146358676
delay_CI_CI,21.0,0.445002565877,3.92086473804,1.32774153908,0.0987430429769
delay_CI_CI,21.25,0.450130357001,3.89693686974,1.30296061909,0.0918968108329
delay_CI_CI,21.5,0.449670845062,3.8703331653,1.33860537211,0.0917351569386
delay_CI_CI,21.75,0.443055338049,3.82541988968,1.29680627295,0.0937178481245
delay_CI_CI,22.0,0.448230870894,3.82508509906,1.3314923925,0.0958418468837
