Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
gL,6.0,gL_1,13.5,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.415,0.415,0.415,0.415,0.173,0.173,0.173,0.173,0.528,0.528,0.528,0.528
gL,6.0,gL_1,14.5,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.415,0.415,0.415,0.415,0.173,0.173,0.173,0.173,0.528,0.528,0.528,0.528
gL,7.0,gL_1,0.5,1.0,1.0,0.633333333333,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.884,1.0,1.0,0.801,1.0
gL,7.0,gL_1,1.5,1.0,1.0,0.566666666667,1.0,0.0,0.0,0.002,0.0,0.884,0.884,0.374,0.884,1.0,1.0,0.745,1.0
gL,7.0,gL_1,2.5,1.0,1.0,0.5,0.866666666667,0.0,0.0,0.019,0.0,0.884,0.884,0.313,0.693,1.0,1.0,0.687,0.962
gL,7.0,gL_1,3.5,1.0,1.0,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.884,0.884,0.313,0.541,1.0,1.0,0.687,0.877
gL,7.0,gL_1,4.5,0.9,0.966666666667,0.366666666667,0.8,0.0,0.0,0.276,0.0,0.735,0.828,0.199,0.614,0.979,0.999,0.561,0.923
gL,7.0,gL_1,5.5,0.966666666667,0.966666666667,0.5,0.7,0.0,0.0,0.019,0.0,0.828,0.828,0.313,0.506,0.999,0.999,0.687,0.853
gL,7.0,gL_1,6.5,0.733333333333,0.7,0.466666666667,0.6,0.0,0.0,0.043,0.001,0.541,0.506,0.283,0.406,0.877,0.853,0.657,0.773
gL,7.0,gL_1,7.5,0.633333333333,0.6,0.5,0.7,0.0,0.001,0.019,0.0,0.439,0.406,0.313,0.506,0.801,0.773,0.687,0.853
