Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
C,60.0,C_1,50.0,30.9365070001,9.06938287015,0.837564513209,0.0659667499473
C,60.0,C_1,60.0,17.7428976524,4.82898302906,1.25410427614,0.117577269153
C,60.0,C_1,70.0,12.3793606093,3.3685596237,1.33112768429,0.0460761996517
C,60.0,C_1,80.0,10.3133234322,2.96445209766,1.50060955505,0.0383676754766
C,60.0,C_1,90.0,9.14452700069,2.64755142634,1.56034486546,0.0373481683333
C,60.0,C_1,100.0,8.04612881213,2.21815612933,1.54089770682,0.035010344825
C,60.0,C_1,110.0,6.98612139571,1.77300447865,1.50129001712,0.0331693594136
C,60.0,C_1,120.0,6.3375378437,1.44732949203,1.49377743131,0.0300603216396
C,70.0,C_1,30.0,24.5573848493,5.96318996011,0.666109137008,0.455072132601
C,70.0,C_1,40.0,24.7594794853,6.39885192485,1.13342405037,0.35043882771
C,70.0,C_1,50.0,30.6459507827,8.47799001352,0.961003055849,0.0534109597367
C,70.0,C_1,60.0,21.6196380293,6.3718908204,1.1393775746,0.0719777961429
C,70.0,C_1,70.0,12.3117147356,3.39329505601,1.32749913761,0.0531498062294
C,70.0,C_1,80.0,10.4824932575,3.04568248354,1.49112039671,0.0343652829101
C,70.0,C_1,90.0,9.33092653436,2.681132098,1.5435679894,0.0394727343972
C,70.0,C_1,100.0,8.0871374687,2.25412172456,1.53888851297,0.0327688175876
C,70.0,C_1,110.0,7.01450521112,1.78838598738,1.49994007057,0.0343736284775
C,70.0,C_1,120.0,6.36670427972,1.46142167241,1.49402637118,0.0307620301889
C,80.0,C_1,30.0,23.8756827849,5.56314872666,0.649547800267,0.407504737986
C,80.0,C_1,40.0,24.8507236991,6.53332479506,0.975174406419,0.452827426749
C,80.0,C_1,50.0,29.7042133905,7.71188648049,0.954124552725,0.100861873796
C,80.0,C_1,60.0,25.5395961321,7.07413047604,1.08799537082,0.052729287554
C,80.0,C_1,70.0,12.3709062189,3.44685098216,1.29813081559,0.0578661005599
C,80.0,C_1,80.0,10.5110058779,3.01768400797,1.45772845431,0.0384135835139
C,80.0,C_1,90.0,9.39110300323,2.705735195,1.53304902876,0.0384303696167
C,80.0,C_1,100.0,8.09874352649,2.28137249222,1.52840930725,0.0327363884664
C,80.0,C_1,110.0,7.02625986336,1.78042455135,1.501684239,0.0339943046704
C,80.0,C_1,120.0,6.39252548251,1.483486208,1.49712094381,0.031046876549
C,90.0,C_1,30.0,23.0548120849,5.58829444673,0.666089472321,0.35345538316
C,90.0,C_1,40.0,25.3558700938,6.62794901156,0.907910648595,0.480414902583
C,90.0,C_1,50.0,29.2141931169,7.32724680025,0.957416699628,0.131988782346
C,90.0,C_1,60.0,28.9964357681,8.03561492132,1.06160102412,0.0406400114425
C,90.0,C_1,70.0,14.4630057611,4.17447837012,1.24872002391,0.0648366586566
C,90.0,C_1,80.0,10.6076156457,3.07110416185,1.44373812807,0.0418161210915
C,90.0,C_1,90.0,9.31697278274,2.70290953117,1.50307819088,0.039103328092
C,90.0,C_1,100.0,8.15073185511,2.27894738056,1.51058712767,0.0322256097625
C,90.0,C_1,110.0,7.07570484198,1.75991872977,1.49413784205,0.0325163725837
C,90.0,C_1,120.0,6.40510498085,1.50577532712,1.50052945961,0.031121959613
C,100.0,C_1,30.0,20.9506305457,5.07164549206,0.657724208547,0.269813495777
C,100.0,C_1,40.0,25.6185408443,6.79238412876,0.844101074153,0.489852519939
C,100.0,C_1,50.0,28.5146655791,7.00460491173,0.993993438519,0.179604586525
C,100.0,C_1,60.0,29.3370037368,7.95570566078,1.0535160331,0.0550402972024
C,100.0,C_1,70.0,19.5690522149,5.5767724817,1.29617983975,0.0522614879558
C,100.0,C_1,80.0,10.5665893162,3.05833288751,1.41032838224,0.0422434150369
C,100.0,C_1,90.0,9.26899305623,2.68278203128,1.49747402904,0.0385002013568
C,100.0,C_1,100.0,8.20691487691,2.28988287238,1.50147835555,0.0326517244045
C,100.0,C_1,110.0,7.10286236247,1.78067839229,1.49387994561,0.0333788425213
C,100.0,C_1,120.0,6.40276455086,1.51173265767,1.50171525583,0.0310732567153
C,110.0,C_1,30.0,21.5069392365,5.16251032837,0.65300875812,0.322326163324
C,110.0,C_1,40.0,25.940983174,6.78883886964,0.620872807694,0.501338032786
C,110.0,C_1,50.0,27.4462378187,6.81772323034,1.05695897056,0.189018205615
C,110.0,C_1,60.0,29.5272804138,7.57503843326,1.04960715851,0.0751699480913
C,110.0,C_1,70.0,19.4271170789,5.50316272143,1.35123727009,0.0465143664961
C,110.0,C_1,80.0,10.8585515259,3.15343744045,1.41028588055,0.0423421122079
C,110.0,C_1,90.0,9.2621805795,2.65775656263,1.50740675211,0.036372517077
C,110.0,C_1,100.0,8.26550357926,2.30201271565,1.5059766179,0.033026247925
C,110.0,C_1,110.0,7.15295811483,1.79749675997,1.50215394251,0.0333618656774
C,110.0,C_1,120.0,6.41244491861,1.51363811185,1.50254333029,0.0307251841589
C,120.0,C_1,30.0,17.7413823703,4.74832397038,0.690818041699,0.205622550268
C,120.0,C_1,40.0,26.5946289133,6.66324128641,0.573894380421,0.50333418986
C,120.0,C_1,50.0,25.5794666251,6.34330908658,1.15356148493,0.255306413284
C,120.0,C_1,60.0,29.9313409077,7.69659901156,1.05931904938,0.105534681335
C,120.0,C_1,70.0,25.1753698754,6.99671526988,1.2386232938,0.0458815669891
C,120.0,C_1,80.0,10.6280414891,3.0615285257,1.41395312967,0.0466456672714
C,120.0,C_1,90.0,9.23077804396,2.66341246292,1.49116886081,0.0379869177041
C,120.0,C_1,100.0,8.29328272685,2.30548292063,1.50804517508,0.0350887888571
C,120.0,C_1,110.0,7.16775458659,1.8017465019,1.50102300392,0.0324738912809
C,120.0,C_1,120.0,6.42151616407,1.51502762027,1.50434672972,0.0304263067645
C,130.0,C_1,30.0,15.2212070625,4.26429961762,0.76373091074,0.156899700573
C,130.0,C_1,40.0,25.3000307772,6.33284320653,0.600486958668,0.413506746962
C,130.0,C_1,50.0,24.9810401947,6.59715103244,1.10393165999,0.350690585275
C,130.0,C_1,60.0,29.417204925,7.55070180624,1.07065438035,0.113433730308
C,130.0,C_1,70.0,26.5690398736,7.07331130405,1.21782623518,0.043888553454
C,130.0,C_1,80.0,13.3023589378,3.66728415786,1.45487264529,0.0456156690925
C,130.0,C_1,90.0,9.23196869278,2.69990336594,1.49299886219,0.0356002227377
C,130.0,C_1,100.0,8.33534624741,2.31715914475,1.51300505126,0.0329866714715
C,130.0,C_1,110.0,7.21107650431,1.82576347026,1.49995105301,0.0337528157498
C,130.0,C_1,120.0,6.41891733288,1.51730841723,1.5053963968,0.0302912920727
C,140.0,C_1,30.0,13.7254735676,3.81030647623,0.79650660522,0.122398411024
C,140.0,C_1,40.0,24.5962873941,5.94679574357,0.571795417075,0.372374410005
C,140.0,C_1,50.0,24.9471231718,6.57967581864,1.02697081516,0.365469663989
C,140.0,C_1,60.0,29.0185102822,7.44683271593,1.0723350186,0.132493974042
C,140.0,C_1,70.0,26.4915842648,6.92730454444,1.20136829589,0.0458694229795
C,140.0,C_1,80.0,13.3310472911,3.78288125972,1.46864603668,0.0431557456903
C,140.0,C_1,90.0,9.22214282883,2.70377524391,1.48782218062,0.0370373935595
C,140.0,C_1,100.0,8.37856455408,2.32214081634,1.50823048644,0.0328408144614
C,140.0,C_1,110.0,7.20657454689,1.82647050738,1.49913089298,0.0335933528323
C,140.0,C_1,120.0,6.42252671751,1.51874472062,1.50585748877,0.0303399078257
C,150.0,C_1,30.0,17.5192101085,4.58100011564,0.746926398151,0.223590526147
C,150.0,C_1,40.0,23.5084463288,5.86946348408,0.585722007814,0.351849030917
C,150.0,C_1,50.0,24.6768175296,6.71564064323,1.03578311124,0.389799178443
C,150.0,C_1,60.0,28.2112290199,6.96067182107,1.08170347582,0.147231144037
C,150.0,C_1,70.0,26.5231829443,7.03799698924,1.19221062523,0.0588742712967
C,150.0,C_1,80.0,13.6493337462,3.80748239223,1.53836497758,0.0462351811174
C,150.0,C_1,90.0,9.28706126599,2.68369967634,1.47905363857,0.0380488168463
C,150.0,C_1,100.0,8.40880551878,2.34785591946,1.51328202912,0.0346613098259
C,150.0,C_1,110.0,7.20568861115,1.82766642033,1.49825815187,0.034396574298
C,150.0,C_1,120.0,6.42448778235,1.52215976999,1.50617944191,0.0305700735788
C,160.0,C_1,30.0,15.4704016504,4.05619704785,0.785668094244,0.155968669647
C,160.0,C_1,40.0,25.1496657917,6.14762562072,0.557990378793,0.401630361448
C,160.0,C_1,50.0,24.8144724591,6.41300251334,0.728483848057,0.425557025339
C,160.0,C_1,60.0,27.0874135258,6.66710057412,1.11039394758,0.162135890399
C,160.0,C_1,70.0,25.9585194325,6.70608860678,1.18654779203,0.0650381984542
C,160.0,C_1,80.0,14.4750495763,4.0839415851,1.61324295324,0.0441705742959
C,160.0,C_1,90.0,9.21559491884,2.64208847698,1.48002135965,0.0410425287735
C,160.0,C_1,100.0,8.43839202099,2.33905841899,1.51218776532,0.0338203061513
C,160.0,C_1,110.0,7.21046535485,1.83148301754,1.49754980865,0.033445259973
C,160.0,C_1,120.0,6.42312668525,1.52239242099,1.50600690197,0.0304791708777
C,170.0,C_1,30.0,16.5423983144,4.52530041359,0.761369712953,0.175488804147
C,170.0,C_1,40.0,25.3029194021,5.93150116856,0.555178116291,0.411616075782
C,170.0,C_1,50.0,25.4961065196,6.91156486756,0.657909080931,0.428586453077
C,170.0,C_1,60.0,23.3348058453,6.03399576241,1.16528084359,0.232251304895
C,170.0,C_1,70.0,26.2695545238,6.61337425954,1.18868814501,0.0720628933834
C,170.0,C_1,80.0,16.2119431185,4.44361150814,1.64861889203,0.0464812157147
C,170.0,C_1,90.0,9.29931629601,2.67435565206,1.50177308972,0.0386286518295
C,170.0,C_1,100.0,8.41559263723,2.34587364172,1.50469728964,0.033801457918
C,170.0,C_1,110.0,7.2072085759,1.82928227012,1.49806885905,0.0335877926186
C,170.0,C_1,120.0,6.42326431332,1.5223750486,1.5060068906,0.0304791708777
C,180.0,C_1,30.0,16.8290044291,4.48738201307,0.798944873496,0.19907345946
C,180.0,C_1,40.0,22.8104910648,5.67823914668,0.595497048907,0.307565972198
C,180.0,C_1,50.0,26.0413057806,7.14534192837,0.696584321916,0.435229655162
C,180.0,C_1,60.0,24.3920985958,6.75018789644,1.08461235035,0.273336050391
C,180.0,C_1,70.0,24.0649835165,5.90260918754,1.20910221963,0.0993278117043
C,180.0,C_1,80.0,17.848799116,4.72758072932,1.56618130435,0.0443337110166
C,180.0,C_1,90.0,9.3375718127,2.69742416549,1.53234084136,0.0409573993465
C,180.0,C_1,100.0,8.42367695104,2.32375360368,1.50547475441,0.0336130443136
C,180.0,C_1,110.0,7.21332863356,1.83153360959,1.49731644572,0.0333227138006
C,180.0,C_1,120.0,6.42313377658,1.5223610244,1.50600692676,0.0304791708777
C,190.0,C_1,30.0,17.54986887,4.74293306914,0.767711673477,0.227331637934
C,190.0,C_1,40.0,22.4872186621,5.46671926264,0.634445931715,0.302758574904
C,190.0,C_1,50.0,24.4590765544,6.62518117193,0.967271998782,0.359229004699
C,190.0,C_1,60.0,25.0521403868,6.82973368404,1.06397962653,0.288066770752
C,190.0,C_1,70.0,24.4200705187,6.26459490987,1.22548779791,0.108635352321
C,190.0,C_1,80.0,16.9767855452,4.46455021045,1.60526309582,0.0449822050498
C,190.0,C_1,90.0,9.79189702638,2.85041599388,1.56122305278,0.041135938996
C,190.0,C_1,100.0,8.43844143138,2.33465208037,1.50450072671,0.0345294976805
C,190.0,C_1,110.0,7.21097883817,1.83018028879,1.49601638409,0.0333164620805
C,190.0,C_1,120.0,6.42313377658,1.5223610244,1.50600692676,0.0304791708777
C,200.0,C_1,30.0,17.6157482047,4.57240545171,0.752135116748,0.246392834336
C,200.0,C_1,40.0,22.5383537601,5.63655743686,0.629911186202,0.319557402584
C,200.0,C_1,50.0,24.3709994995,6.42713938073,0.880895374349,0.357071499608
C,200.0,C_1,60.0,25.145068689,6.45049293877,1.07460854472,0.230734064815
C,200.0,C_1,70.0,25.4728691051,6.69905812633,1.19427262274,0.109128344385
C,200.0,C_1,80.0,16.6558117571,4.47381358182,1.65024179471,0.0463070463549
C,200.0,C_1,90.0,10.2392497816,2.90506840884,1.68918350307,0.0377321336121
C,200.0,C_1,100.0,8.4396806106,2.31236840064,1.50413521527,0.0343668137808
C,200.0,C_1,110.0,7.21090112521,1.8302315221,1.49601342089,0.0333164620805
C,200.0,C_1,120.0,6.42314969258,1.52236898694,1.5060072108,0.0304791708777
C,210.0,C_1,30.0,18.313925713,4.68475028176,0.807801517049,0.259678194316
C,210.0,C_1,40.0,22.725124354,5.47934025998,0.629097024413,0.375707059784
C,210.0,C_1,50.0,24.6079304292,6.27742834057,0.868489678668,0.358470745867
C,210.0,C_1,60.0,26.2505715317,6.53336523282,1.05308865278,0.207033443757
C,210.0,C_1,70.0,25.534571151,6.55187583789,1.17551511525,0.105219858927
C,210.0,C_1,80.0,17.1486727955,4.62573924685,1.62345726859,0.0466328417854
C,210.0,C_1,90.0,11.9111160179,3.37384199846,1.60791486174,0.0421780714185
C,210.0,C_1,100.0,8.42920124989,2.32314212611,1.50052967432,0.0348144212722
C,210.0,C_1,110.0,7.21642466688,1.83208183494,1.4957485165,0.0335608833247
