Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
delay_CI_CI,0.5,6.02454080053,1.26698494816,1.4756012459,0.031395666122
delay_CI_CI,0.75,6.02982471887,1.27985369712,1.47309097727,0.03042741953
delay_CI_CI,1.0,6.03682169623,1.27002537022,1.47176537513,0.0301342220013
delay_CI_CI,1.25,6.04055416741,1.26986268209,1.47242476411,0.0324829215132
delay_CI_CI,1.5,6.02665133557,1.26721227277,1.47023193945,0.0310360322196
delay_CI_CI,1.75,6.02461687439,1.26302676648,1.47063771744,0.0314655443063
delay_CI_CI,2.0,6.03394657476,1.28208799299,1.46987775053,0.0318600645022
delay_CI_CI,2.25,6.03086860872,1.27471182202,1.46924790125,0.0316850338517
delay_CI_CI,2.5,6.02879213862,1.29067894225,1.46907604655,0.0320164416547
delay_CI_CI,2.75,6.02882397168,1.28968303002,1.46812112485,0.0327498185384
delay_CI_CI,3.0,6.02867200523,1.26825359421,1.4677152807,0.0305367552868
delay_CI_CI,3.25,6.02208252056,1.26808684554,1.46654188695,0.0302779731984
delay_CI_CI,3.5,6.02989828977,1.26697811035,1.46474230063,0.0308307140024
delay_CI_CI,3.75,6.02537114347,1.28194744979,1.46339487852,0.0303473667502
delay_CI_CI,4.0,6.02382092997,1.27941863871,1.46232218566,0.0306928537486
delay_CI_CI,4.25,6.01694319332,1.28081422083,1.46324720446,0.0316463934754
delay_CI_CI,4.5,6.03174492031,1.274276568,1.4657863823,0.030993434875
delay_CI_CI,4.75,6.03596135899,1.27320349553,1.46180357826,0.0315531606343
delay_CI_CI,5.0,6.01842578017,1.26810426154,1.46161117931,0.0321799137847
delay_CI_CI,5.25,6.02336106113,1.27888680748,1.46272094941,0.0317346345495
delay_CI_CI,5.5,6.02749633265,1.28134890406,1.46297721001,0.0319531820806
delay_CI_CI,5.75,6.03286018554,1.28777904066,1.46193253426,0.0314065006954
delay_CI_CI,6.0,6.03709482623,1.29088166727,1.46244479817,0.0302940292536
delay_CI_CI,6.25,6.02928886292,1.28365405325,1.46161726505,0.0304985944472
delay_CI_CI,6.5,6.03830747572,1.28619991845,1.46091392266,0.0300535123704
delay_CI_CI,6.75,6.04998764342,1.28991403125,1.45928022525,0.0318204067926
delay_CI_CI,7.0,6.05267697374,1.28502197176,1.45996162195,0.0309543926481
delay_CI_CI,7.25,6.05226659086,1.28184046304,1.46174505789,0.0309203667894
delay_CI_CI,7.5,6.04680578375,1.303112083,1.46366914602,0.0325762633346
delay_CI_CI,7.75,6.04878111168,1.33563575313,1.46634273643,0.0324137720026
delay_CI_CI,8.0,6.05769879003,1.33193028853,1.46722256547,0.0329225868328
delay_CI_CI,8.25,6.03550992054,1.32276771485,1.46666703536,0.0320068644641
delay_CI_CI,8.5,6.03426839551,1.33021457575,1.46710071775,0.0318711013073
delay_CI_CI,8.75,6.0408686706,1.31904679898,1.46716965389,0.0311416619695
delay_CI_CI,9.0,6.05043413025,1.35514099281,1.4666064644,0.0308879618665
delay_CI_CI,9.25,6.05968165425,1.33364054003,1.46315527899,0.031567526766
delay_CI_CI,9.5,6.0672141385,1.35687897665,1.46053830214,0.0298233580901
delay_CI_CI,9.75,6.07977095598,1.35395332414,1.45964007156,0.0309270393078
delay_CI_CI,10.0,6.09006139785,1.38760019597,1.45917363569,0.0311165178348
delay_CI_CI,10.25,6.09481426679,1.38153785259,1.45915346911,0.0296524373856
delay_CI_CI,10.5,6.10884829866,1.36193746994,1.45863603549,0.030277672693
delay_CI_CI,10.75,6.1197026934,1.35065953112,1.45907858605,0.0309177331693
delay_CI_CI,11.0,6.11997577813,1.35599925299,1.45794693101,0.0306396389919
delay_CI_CI,11.25,6.12779512833,1.36548139616,1.4585832606,0.0305337370371
delay_CI_CI,11.5,6.1411096664,1.36903793988,1.45831736638,0.0307706666536
delay_CI_CI,11.75,6.14408713686,1.36338516721,1.45829430122,0.0304814240223
delay_CI_CI,12.0,6.15869164258,1.36568965388,1.45898209816,0.0304494828482
delay_CI_CI,12.25,6.17947603305,1.37369047137,1.45761490864,0.0317612168425
delay_CI_CI,12.5,6.18949652224,1.37747728925,1.45718229715,0.0305011809621
delay_CI_CI,12.75,6.20240401843,1.37970675552,1.45822610027,0.0313139118542
delay_CI_CI,13.0,6.22265358283,1.38518123739,1.45710190923,0.0293924363601
delay_CI_CI,13.25,6.22587798447,1.37924190616,1.4541060889,0.0289060433976
delay_CI_CI,13.5,6.2384809277,1.39347631144,1.45415769917,0.0289447352121
delay_CI_CI,13.75,6.24020876771,1.40963587605,1.45521824655,0.0286288376909
delay_CI_CI,14.0,6.25399614176,1.43121858224,1.45399090386,0.0288087317342
delay_CI_CI,14.25,6.25301726978,1.41721154902,1.45440010735,0.0290682047416
delay_CI_CI,14.5,6.26332246813,1.41464515002,1.45452013759,0.0293964855282
delay_CI_CI,14.75,6.28508039619,1.42108627003,1.45769816975,0.0309179358037
delay_CI_CI,15.0,6.28860021408,1.42646418823,1.45770401995,0.0307614809891
delay_CI_CI,15.25,6.28996063228,1.43263725048,1.45580605501,0.033199397789
delay_CI_CI,15.5,6.30034034494,1.44734602447,1.45632961171,0.0317005269236
delay_CI_CI,15.75,6.29721764963,1.43797044555,1.45915905153,0.0328355667028
delay_CI_CI,16.0,6.3104103697,1.44458161034,1.45992514515,0.0325809724527
delay_CI_CI,16.25,6.31240346821,1.44555041971,1.45965049159,0.0316871021514
