Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,MeanFR_NG1_L4_CI_SS_L4_mean,MeanFR_NG2_L4_CI_BC_L4_mean
C,130.0,C_1,80.0,238.290416667,226.166666667
C,130.0,C_1,90.0,216.243333333,213.93
C,130.0,C_1,100.0,196.009375,200.58
C,130.0,C_1,110.0,154.609791667,160.844166667
C,130.0,C_1,120.0,9.08937500001,10.2466666667
C,140.0,C_1,30.0,311.938125,250.016666667
C,140.0,C_1,40.0,303.070625,247.6975
C,140.0,C_1,50.0,295.164583333,245.6675
C,140.0,C_1,60.0,286.878958333,243.513333333
C,140.0,C_1,70.0,267.521875,235.795833333
C,140.0,C_1,80.0,244.275416667,225.0375
C,140.0,C_1,90.0,219.130833333,211.2725
C,140.0,C_1,100.0,197.91125,198.285
C,140.0,C_1,110.0,157.341666667,163.906666667
C,140.0,C_1,120.0,13.5495833333,15.0875
C,150.0,C_1,30.0,312.064166667,246.139166667
C,150.0,C_1,40.0,303.0525,243.564166667
C,150.0,C_1,50.0,295.653541667,241.4125
C,150.0,C_1,60.0,287.452291667,239.41
C,150.0,C_1,70.0,269.563541667,232.276666667
C,150.0,C_1,80.0,251.471666667,224.655833333
C,150.0,C_1,90.0,223.296041667,209.688333333
C,150.0,C_1,100.0,199.796875,195.534166667
C,150.0,C_1,110.0,162.057291667,165.164166667
C,150.0,C_1,120.0,106.130208333,114.811666667
C,160.0,C_1,30.0,312.310208333,242.246666667
C,160.0,C_1,40.0,303.234375,240.339166667
C,160.0,C_1,50.0,295.67,237.530833333
C,160.0,C_1,60.0,288.001666667,235.248333333
C,160.0,C_1,70.0,271.937916667,229.210833333
C,160.0,C_1,80.0,255.250416667,222.373333333
C,160.0,C_1,90.0,229.591875,209.474166667
C,160.0,C_1,100.0,201.009583333,192.346666667
C,160.0,C_1,110.0,177.583333333,176.156666667
C,160.0,C_1,120.0,123.623958333,129.425
C,170.0,C_1,30.0,312.189166667,237.816666667
C,170.0,C_1,40.0,303.372083333,236.275833333
C,170.0,C_1,50.0,296.105416667,234.084166667
C,170.0,C_1,60.0,288.502083333,231.618333333
C,170.0,C_1,70.0,273.881458333,226.121666667
C,170.0,C_1,80.0,257.852708333,219.6825
C,170.0,C_1,90.0,237.733958333,210.234166667
C,170.0,C_1,100.0,206.151458333,192.273333333
C,170.0,C_1,110.0,178.358125,173.7725
C,170.0,C_1,120.0,146.0925,147.4125
C,180.0,C_1,30.0,312.376458333,234.935833333
C,180.0,C_1,40.0,303.382916667,231.648333333
C,180.0,C_1,50.0,296.600833333,230.3525
C,180.0,C_1,60.0,288.907708333,228.175
C,180.0,C_1,70.0,276.427291667,223.535833334
C,180.0,C_1,80.0,259.9525,216.825833333
C,180.0,C_1,90.0,242.521875,209.079166667
C,180.0,C_1,100.0,212.770416667,193.081666667
C,180.0,C_1,110.0,179.2875,171.330833333
C,180.0,C_1,120.0,151.161458333,149.213333333
C,190.0,C_1,30.0,312.496458333,231.9025
C,190.0,C_1,40.0,303.310833333,228.6325
C,190.0,C_1,50.0,296.872083333,226.5575
C,190.0,C_1,60.0,289.488541667,224.61
C,190.0,C_1,70.0,277.682083333,220.536666667
C,190.0,C_1,80.0,261.679791667,214.001666667
C,190.0,C_1,90.0,245.55,207.035833333
C,190.0,C_1,100.0,222.519791667,195.3775
C,190.0,C_1,110.0,183.679791667,171.621666667
C,190.0,C_1,120.0,152.627916667,148.430833333
C,200.0,C_1,30.0,312.438541667,228.646666667
C,200.0,C_1,40.0,303.415833333,226.096666666
C,200.0,C_1,50.0,296.62375,223.39
C,200.0,C_1,60.0,289.908125,221.0975
C,200.0,C_1,70.0,278.523958333,217.350833333
C,200.0,C_1,80.0,263.290416666,211.306666667
C,200.0,C_1,90.0,248.016666667,204.815
C,200.0,C_1,100.0,228.940208333,195.583333333
C,200.0,C_1,110.0,189.797291667,173.013333333
C,200.0,C_1,120.0,152.343541667,145.886666667
C,210.0,C_1,30.0,312.439583333,225.075833333
C,210.0,C_1,40.0,303.560208333,223.0725
C,210.0,C_1,50.0,297.365416667,220.8925
C,210.0,C_1,60.0,289.851875,218.339166667
C,210.0,C_1,70.0,280.312916667,214.485833333
C,210.0,C_1,80.0,264.375,208.508333333
C,210.0,C_1,90.0,250.241041667,202.604166667
C,210.0,C_1,100.0,232.69,194.383333333
C,210.0,C_1,110.0,203.016041667,178.276666667
C,210.0,C_1,120.0,158.820416667,149.605
C,220.0,C_1,30.0,312.443125,222.459166667
C,220.0,C_1,40.0,303.785625,219.911666667
C,220.0,C_1,50.0,297.6575,218.0825
C,220.0,C_1,60.0,290.404375,215.75
C,220.0,C_1,70.0,281.955208333,212.530833333
C,220.0,C_1,80.0,265.468333333,205.7425
C,220.0,C_1,90.0,252.100416666,200.250833333
C,220.0,C_1,100.0,235.313958333,192.58
C,220.0,C_1,110.0,214.88,182.118333333
C,220.0,C_1,120.0,167.110416667,152.930833333
C,230.0,C_1,30.0,312.46875,219.6475
C,230.0,C_1,40.0,303.87,217.033333333
C,230.0,C_1,50.0,298.051875,215.204166667
C,230.0,C_1,60.0,290.944375,212.926666666
C,230.0,C_1,70.0,282.0225,209.864166667
C,230.0,C_1,80.0,267.2775,203.658333333
C,230.0,C_1,90.0,253.512708333,197.880833333
C,230.0,C_1,100.0,237.872291667,190.840833333
C,230.0,C_1,110.0,219.044375,181.4675
C,230.0,C_1,120.0,178.619375,158.029166667
C,240.0,C_1,30.0,312.4375,216.546666667
C,240.0,C_1,40.0,303.980416667,214.11
C,240.0,C_1,50.0,298.248125,212.324166667
C,240.0,C_1,60.0,291.439375,210.120833333
C,240.0,C_1,70.0,282.60375,207.131666667
C,240.0,C_1,80.0,268.518541667,201.5725
C,240.0,C_1,90.0,254.405833333,195.500833333
C,240.0,C_1,100.0,239.829583334,189.016666667
C,240.0,C_1,110.0,222.234791667,180.363333333
C,240.0,C_1,120.0,195.864166667,165.7375
C,250.0,C_1,30.0,312.44,213.544166667
C,250.0,C_1,40.0,303.994583333,211.288333334
C,250.0,C_1,50.0,298.435625,209.545833333
C,250.0,C_1,60.0,291.778333333,207.354166667
C,250.0,C_1,70.0,283.334375,204.485833333
C,250.0,C_1,80.0,270.315416667,199.4475
C,250.0,C_1,90.0,255.73125,193.366666667
C,250.0,C_1,100.0,241.616666667,187.1475
C,250.0,C_1,110.0,224.705416667,178.984166667
C,250.0,C_1,120.0,203.259375,167.583333333
C,260.0,C_1,30.0,312.4375,210.730833333
C,260.0,C_1,40.0,304.058958333,208.279166667
C,260.0,C_1,50.0,298.316458333,205.385833333
C,260.0,C_1,60.0,292.094166667,204.6575
C,260.0,C_1,70.0,283.8175,201.891666667
C,260.0,C_1,80.0,270.989166667,197.075833333
C,260.0,C_1,90.0,256.934791667,191.196666667
C,260.0,C_1,100.0,243.050208333,185.123333333
C,260.0,C_1,110.0,227.029791667,177.568333333
C,260.0,C_1,120.0,207.845416667,167.728333333
