Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
C,30.0,C_1,30.0,0.86193104391,7.38524513294,0.651715544592,0.591241741378
C,30.0,C_1,40.0,0.861149855881,7.97643897652,0.560352624201,0.610504313404
C,30.0,C_1,50.0,0.679567469862,6.61577317957,0.945127718537,0.404788193411
C,30.0,C_1,60.0,0.420537078566,3.96901922491,1.1453647538,0.101772179249
C,30.0,C_1,70.0,0.387782409585,3.73655643272,1.46918436239,0.0592036110703
C,30.0,C_1,80.0,0.356202060177,3.41665153454,1.59814582873,0.055052133096
C,30.0,C_1,90.0,0.32717542869,3.1817039639,1.72083760282,0.0465129380723
C,30.0,C_1,100.0,0.320132466101,3.04376457431,1.72577804996,0.0431805847569
C,30.0,C_1,110.0,0.298143384794,2.81129880431,1.72346339246,0.0425699488727
C,30.0,C_1,120.0,0.28968805969,2.71442754425,1.75474409053,0.042876281135
C,40.0,C_1,30.0,0.835037073254,7.74939211819,0.601811066996,0.575200036394
C,40.0,C_1,40.0,0.858436086784,8.157708982,0.567053832034,0.615172974256
C,40.0,C_1,50.0,0.852466911553,8.24895307526,0.650612686254,0.544534143811
C,40.0,C_1,60.0,0.479496301198,4.40368147017,1.53741336285,0.177926504745
C,40.0,C_1,70.0,0.434782532601,4.10506678167,1.23285692244,0.103740405499
C,40.0,C_1,80.0,0.387280915961,3.63487558786,1.47634701233,0.052524137625
C,40.0,C_1,90.0,0.365897916559,3.49881757897,1.62329604697,0.0520085178387
C,40.0,C_1,100.0,0.3435020519,3.3243233511,1.68010405475,0.0492078260238
C,40.0,C_1,110.0,0.332715254412,3.10307573013,1.72409898547,0.0466016472204
C,40.0,C_1,120.0,0.31346583395,3.0395875285,1.78165140729,0.0412131254282
C,50.0,C_1,30.0,0.737336152915,6.73736411482,0.918939880267,0.463740172397
C,50.0,C_1,40.0,0.833149681092,7.95966058148,0.583787361386,0.603166419412
C,50.0,C_1,50.0,0.854565298589,8.36548659253,0.62721767058,0.521828097769
C,50.0,C_1,60.0,0.86246375352,8.27145988732,0.747457250602,0.413611276864
C,50.0,C_1,70.0,0.447053256986,4.20001468163,1.22904180098,0.169071215457
C,50.0,C_1,80.0,0.427464467865,4.02665464528,1.37036403922,0.0882080247179
C,50.0,C_1,90.0,0.40180888815,3.81337117941,1.5248413731,0.0660189122831
C,50.0,C_1,100.0,0.374716040308,3.45133929963,1.64590828142,0.0493890267659
C,50.0,C_1,110.0,0.351791367959,3.30621936686,1.70396855036,0.042386852625
C,50.0,C_1,120.0,0.338048261219,3.17179895619,1.76590890821,0.0437623057838
C,60.0,C_1,30.0,0.715289332029,5.59702526977,0.713178715225,0.47020274201
C,60.0,C_1,40.0,0.855082597151,7.63578706954,0.775518369047,0.168998303223
C,60.0,C_1,50.0,0.867633864627,8.5115833097,0.627908291953,0.512076788326
C,60.0,C_1,60.0,0.866907620039,8.25725930448,0.753995723922,0.43748034329
C,60.0,C_1,70.0,0.787315867853,7.4344167362,1.02736781671,0.244195762856
C,60.0,C_1,80.0,0.461255375759,4.30198658986,1.25982774955,0.137511037983
C,60.0,C_1,90.0,0.423710700212,4.04402145144,1.463247371,0.08292440632
C,60.0,C_1,100.0,0.396248147331,3.70079908309,1.57000712954,0.0589540274524
C,60.0,C_1,110.0,0.371126924166,3.50880567596,1.68978951107,0.0531657224663
C,60.0,C_1,120.0,0.350091239085,3.24090521835,1.74380589605,0.0426438596272
C,70.0,C_1,30.0,0.661192756816,5.38138352715,0.706753022177,0.408759935178
C,70.0,C_1,40.0,0.70122458266,6.61932688123,1.15416600733,0.379412439951
C,70.0,C_1,50.0,0.874403648985,8.23224734433,0.84714693902,0.190408690035
C,70.0,C_1,60.0,0.88145077462,8.4982865729,0.731730434164,0.429580506272
C,70.0,C_1,70.0,0.88544900828,8.39264504968,0.865259752582,0.364063237933
C,70.0,C_1,80.0,0.747854677803,6.83653910258,1.09381878694,0.168605010165
C,70.0,C_1,90.0,0.447980924987,4.24324389433,1.39310915177,0.116991856553
C,70.0,C_1,100.0,0.417839429266,3.8703707425,1.57628458733,0.0717858177251
C,70.0,C_1,110.0,0.388054565605,3.62139172502,1.66188953996,0.0540617640296
C,70.0,C_1,120.0,0.372970547531,3.42047185845,1.74252184524,0.047489506648
C,80.0,C_1,30.0,0.657098431482,5.402020369,0.697146850084,0.407157419261
C,80.0,C_1,40.0,0.676792900023,5.75611977703,0.674197606532,0.319820711006
C,80.0,C_1,50.0,0.853318720519,7.50557860644,0.963221157586,0.103509709654
C,80.0,C_1,60.0,0.902844387918,8.59851159807,0.84886917408,0.275775523706
C,80.0,C_1,70.0,0.897284255224,8.69568033852,0.85159240699,0.371613231352
C,80.0,C_1,80.0,0.818621668166,7.82283344901,1.08124724266,0.232497935781
C,80.0,C_1,90.0,0.412359767684,3.7861123122,1.45533282629,0.123342787098
C,80.0,C_1,100.0,0.43405694459,4.02678346563,1.52248411799,0.0869120178433
C,80.0,C_1,110.0,0.401976037786,3.72669396493,1.63834203299,0.0605432218255
C,80.0,C_1,120.0,0.384458946431,3.53314544976,1.7495063386,0.0471353288335
C,90.0,C_1,30.0,0.625158212236,5.17984080348,0.698057402976,0.364140596485
C,90.0,C_1,40.0,0.643990538903,5.40250248108,0.609644450858,0.284499095227
C,90.0,C_1,50.0,0.751620899671,6.77313225566,1.18527550088,0.198634014267
C,90.0,C_1,60.0,0.904398236741,8.47816187556,1.01378202359,0.0594201558149
C,90.0,C_1,70.0,0.898713189165,8.82945495622,0.837614893122,0.303528278522
C,90.0,C_1,80.0,0.869419814217,8.32672004033,0.953773251501,0.280685826688
C,90.0,C_1,90.0,0.630213424776,5.80660225881,1.26476308558,0.14124820274
C,90.0,C_1,100.0,0.435969995003,4.09966377776,1.44282086795,0.109720439574
C,90.0,C_1,110.0,0.410306556221,3.79150252062,1.59910820207,0.0692466005773
C,90.0,C_1,120.0,0.389268181002,3.67002533935,1.72718864684,0.0483849058066
C,100.0,C_1,30.0,0.609521712797,5.02295013253,0.712563746623,0.358223802019
C,100.0,C_1,40.0,0.613940475058,5.34974874185,0.623650270125,0.277567413428
C,100.0,C_1,50.0,0.694413499886,6.11476259634,0.843616948423,0.323354911514
C,100.0,C_1,60.0,0.865153637884,7.62867616418,1.09640446679,0.0794897478392
C,100.0,C_1,70.0,0.918590596603,9.1895764253,1.00348315261,0.0772406598431
C,100.0,C_1,80.0,0.85311925648,8.28742349711,0.946187408375,0.269291230979
C,100.0,C_1,90.0,0.794241315642,7.49662360963,1.11097745247,0.190204538928
C,100.0,C_1,100.0,0.405238685601,3.70808299025,1.54437609386,0.115338247723
C,100.0,C_1,110.0,0.405784712198,3.75375063139,1.5654222131,0.0668777468771
C,100.0,C_1,120.0,0.395042878957,3.70090494929,1.68746415419,0.0575846561126
C,110.0,C_1,30.0,0.574401537723,4.83790356758,0.700939575073,0.300157221899
C,110.0,C_1,40.0,0.551392107027,4.86363606236,0.665965147605,0.238946021835
C,110.0,C_1,50.0,0.717326763245,5.93429771349,0.665982799934,0.399035226827
C,110.0,C_1,60.0,0.851965084331,7.19873423853,1.05143052103,0.133918109008
C,110.0,C_1,70.0,0.890472196258,8.46330843324,1.11665862843,0.0521058731222
C,110.0,C_1,80.0,0.899691804262,9.09882752011,1.03118823533,0.111167225487
C,110.0,C_1,90.0,0.798438315179,7.50787217661,1.11243768107,0.204177072466
C,110.0,C_1,100.0,0.58779514882,5.5061980176,1.37233368941,0.117983461588
C,110.0,C_1,110.0,0.422022578515,4.00700846892,1.55587656811,0.0817528925813
C,110.0,C_1,120.0,0.40143407356,3.77707147125,1.65023776196,0.0604086448692
C,120.0,C_1,30.0,0.549849573831,4.59285279229,0.730097613247,0.272573093122
C,120.0,C_1,40.0,0.474924729287,4.36588341884,0.726866040413,0.181202330254
C,120.0,C_1,50.0,0.727136772864,5.98348071519,0.583927954448,0.408953448766
C,120.0,C_1,60.0,0.824231819348,6.91709918222,1.08641525906,0.176511301837
C,120.0,C_1,70.0,0.891023366521,8.08220343025,1.1709491795,0.0527403673959
C,120.0,C_1,80.0,0.904513781742,8.86720900651,1.16054353347,0.0532173453266
C,120.0,C_1,90.0,0.853464876662,8.6728116593,1.07137738969,0.128351873041
C,120.0,C_1,100.0,0.732387475868,6.8036280362,1.20877784964,0.140369830253
C,120.0,C_1,110.0,0.485388706263,4.3017942496,1.45953191816,0.11221579843
C,120.0,C_1,120.0,0.41025401192,3.85649561298,1.64762319618,0.0656549740768
C,130.0,C_1,30.0,0.541004341363,4.55729111562,0.737704746349,0.258451160339
C,130.0,C_1,40.0,0.458697134959,4.10253204267,0.747242295179,0.153856811806
C,130.0,C_1,50.0,0.743994396479,6.13244868993,0.533584988967,0.4488488321
C,130.0,C_1,60.0,0.745410189187,6.46525358018,1.22294940749,0.286402122058
C,130.0,C_1,70.0,0.893460825576,7.81919184801,1.14271851881,0.0956182592563
C,130.0,C_1,80.0,0.882391260074,8.67162807071,1.24179119527,0.0459794070261
C,130.0,C_1,90.0,0.93382327777,9.66687059605,1.15022308002,0.0673654020419
C,130.0,C_1,100.0,0.7902112371,7.554595022,1.18199119567,0.123007235031
C,130.0,C_1,110.0,0.566078652429,5.0265920909,1.42103046121,0.107455566387
C,130.0,C_1,120.0,0.406574669395,3.7067343171,1.59242248691,0.0752599210838
C,140.0,C_1,30.0,0.51081860031,4.41269308387,0.736967323957,0.229991563751
C,140.0,C_1,40.0,0.460451863425,4.23437632381,0.778616554594,0.152818403521
C,140.0,C_1,50.0,0.751230148912,6.1417827541,0.536647523176,0.480598856057
C,140.0,C_1,60.0,0.731609047213,6.47667373761,1.00815056586,0.404126216434
C,140.0,C_1,70.0,0.877732502319,7.68595575273,1.16194364566,0.125747203326
C,140.0,C_1,80.0,0.872762761534,8.26277614755,1.25354104201,0.0473019839463
C,140.0,C_1,90.0,0.890712427074,8.97713479551,1.26269987706,0.0505279363351
C,140.0,C_1,100.0,0.894165042064,9.16294180037,1.12247482741,0.0875472189271
C,140.0,C_1,110.0,0.637603847168,5.83591502913,1.3017512142,0.119713290369
C,140.0,C_1,120.0,0.419075059352,3.78027696058,1.5737188942,0.0862392422138
C,150.0,C_1,30.0,0.469707791577,4.19552770086,0.736905406645,0.187261363664
C,150.0,C_1,40.0,0.474075280126,4.24102383331,0.723579807188,0.154556508623
C,150.0,C_1,50.0,0.754204312121,6.14070714426,0.519339723936,0.487779041981
C,150.0,C_1,60.0,0.736532572904,6.69208959203,0.873796124001,0.460782680813
C,150.0,C_1,70.0,0.859171857033,7.25579575283,1.11292877077,0.139286690549
C,150.0,C_1,80.0,0.898468270556,8.17393837003,1.23864498721,0.0664621031287
C,150.0,C_1,90.0,0.832627235012,8.31414798765,1.33609676767,0.0420698720738
C,150.0,C_1,100.0,0.916313623962,9.43808884165,1.23747767424,0.0641689030085
C,150.0,C_1,110.0,0.69634476146,6.54107506302,1.25548739705,0.103717360841
C,150.0,C_1,120.0,0.560903518256,5.01886663427,1.4081860332,0.132164492729
C,160.0,C_1,30.0,0.449749258284,4.26621018876,0.753861469405,0.16321625829
C,160.0,C_1,40.0,0.494427391759,4.59223479015,0.715054102908,0.187534392379
C,160.0,C_1,50.0,0.7507244286,6.16399932842,0.522454808579,0.47770610906
C,160.0,C_1,60.0,0.74569157207,6.76388984086,0.850552821217,0.463593082254
C,160.0,C_1,70.0,0.827458862054,7.04153267387,1.18237946161,0.172650291341
C,160.0,C_1,80.0,0.907359851382,8.12292362243,1.23532158471,0.086471933375
C,160.0,C_1,90.0,0.863329533078,8.3367845565,1.30024296495,0.0485897769102
C,160.0,C_1,100.0,0.891368337068,8.94498105348,1.31228845476,0.0520901319278
C,160.0,C_1,110.0,0.852375142765,8.63203610375,1.19542696652,0.0859107824409
C,160.0,C_1,120.0,0.611522725313,5.72779541414,1.28793972215,0.119360926125
C,170.0,C_1,30.0,0.467728449115,4.22455484352,0.738547384467,0.186082706262
C,170.0,C_1,40.0,0.509384229724,4.57891955267,0.724856033094,0.198730177219
C,170.0,C_1,50.0,0.758139723097,6.31793420447,0.550610639408,0.517429376253
C,170.0,C_1,60.0,0.746169434405,6.50654423173,0.782892068076,0.483034623131
C,170.0,C_1,70.0,0.810206365333,6.84722257598,1.19193721692,0.189921715159
C,170.0,C_1,80.0,0.890671242654,7.86191879445,1.21213712356,0.101968991944
C,170.0,C_1,90.0,0.913430543096,8.55896713433,1.31068600782,0.047807158864
C,170.0,C_1,100.0,0.805977779628,7.92970686099,1.3989885705,0.0479488927474
C,170.0,C_1,110.0,0.890904237321,8.39012055418,1.28393301711,0.0754507265432
C,170.0,C_1,120.0,0.709493718727,6.50868991444,1.25899548658,0.100108046115
C,180.0,C_1,30.0,0.455516103388,4.05909917466,0.759781042666,0.150732518728
C,180.0,C_1,40.0,0.522845905406,4.43724864138,0.711346376023,0.239033258968
C,180.0,C_1,50.0,0.752988043403,6.34639446503,0.541823144956,0.512298486825
C,180.0,C_1,60.0,0.746902417774,6.83231273982,0.801888066238,0.486205224093
C,180.0,C_1,70.0,0.790178975916,6.57631884889,1.20087138737,0.239515591348
C,180.0,C_1,80.0,0.880600787016,7.5950620734,1.22029732729,0.112853622196
C,180.0,C_1,90.0,0.905187370006,8.47290448768,1.33436251112,0.0608014384839
C,180.0,C_1,100.0,0.839320488413,8.21126340126,1.35485570915,0.0457177298653
C,180.0,C_1,110.0,0.838196385055,7.84082943548,1.36258200528,0.0654811959676
C,180.0,C_1,120.0,0.741767299586,6.99291661764,1.27765932769,0.0954749585794
C,190.0,C_1,30.0,0.386170852668,3.83798989103,0.804151481505,0.11398127446
C,190.0,C_1,40.0,0.517328323904,4.62161243744,0.70833064133,0.219429099138
C,190.0,C_1,50.0,0.749868230818,6.27429625738,0.519134153091,0.495003587358
C,190.0,C_1,60.0,0.740601413136,6.78658591971,0.797850658354,0.512224069365
C,190.0,C_1,70.0,0.77421157017,6.57563253225,1.16937746136,0.254507091995
C,190.0,C_1,80.0,0.87578521382,7.42953857214,1.2038512707,0.139030338852
C,190.0,C_1,90.0,0.892926471809,8.14054379708,1.31878251864,0.0716748034353
C,190.0,C_1,100.0,0.90953619735,8.71642828876,1.35920786122,0.0456877169571
C,190.0,C_1,110.0,0.801950806886,7.65085394999,1.36721813545,0.0560646924771
C,190.0,C_1,120.0,0.753955625718,6.90273311442,1.32437160094,0.106644594715
C,200.0,C_1,30.0,0.349693910262,3.46989046201,0.836840186808,0.0958488687746
C,200.0,C_1,40.0,0.534660145631,4.72635901238,0.708897935752,0.236366411943
C,200.0,C_1,50.0,0.749183804194,6.17032437981,0.52515409341,0.467071247486
C,200.0,C_1,60.0,0.738805517494,6.73395252337,0.684755728668,0.499630357955
C,200.0,C_1,70.0,0.75673161243,6.47678814991,1.20181809844,0.282191539901
C,200.0,C_1,80.0,0.867988333918,7.41936206548,1.22265990003,0.146981341714
C,200.0,C_1,90.0,0.886594285739,7.92112840311,1.31068012508,0.0813209909664
C,200.0,C_1,100.0,0.919102843771,8.78774696731,1.36004846821,0.0502801154722
C,200.0,C_1,110.0,0.824798680554,8.08335770174,1.4032452635,0.044362537552
C,200.0,C_1,120.0,0.756372350096,7.0510846896,1.35609900698,0.0885145281861
C,210.0,C_1,30.0,0.355146345304,3.56972783018,0.835958484714,0.107612900668
C,210.0,C_1,40.0,0.573615794826,4.87772867858,0.698969696963,0.285788629985
C,210.0,C_1,50.0,0.768339453439,6.49501107139,0.530934704969,0.490761533952
C,210.0,C_1,60.0,0.771448971867,6.81673644574,0.581339521301,0.509045826666
C,210.0,C_1,70.0,0.724861955872,6.20987061225,1.21757757369,0.309558759966
C,210.0,C_1,80.0,0.863916455788,7.30720861804,1.20314093539,0.160576249494
C,210.0,C_1,90.0,0.89924046847,7.89035128543,1.28990078704,0.0904094961903
C,210.0,C_1,100.0,0.911098117062,8.42430588833,1.36883134017,0.0535954325479
C,210.0,C_1,110.0,0.856939030603,8.14959674486,1.39795856022,0.0438060762842
C,210.0,C_1,120.0,0.786102446235,7.24745423747,1.43896083985,0.0761522518085
C,220.0,C_1,30.0,0.29055532342,3.08871188746,0.938151802239,0.0715086507542
C,220.0,C_1,40.0,0.584122966288,4.91055335378,0.679347115871,0.31319931168
C,220.0,C_1,50.0,0.758045082231,6.52514175097,0.531806731992,0.485392769817
C,220.0,C_1,60.0,0.75896440008,7.01295326717,0.659473972768,0.538292858329
C,220.0,C_1,70.0,0.728758775466,6.46466879701,1.00194515846,0.404324715171
C,220.0,C_1,80.0,0.849167319865,7.22196940091,1.21236230829,0.165897560386
C,220.0,C_1,90.0,0.897049079783,7.83849269027,1.2686235761,0.103892302661
C,220.0,C_1,100.0,0.906833023409,8.27219001823,1.37349439087,0.0535905377241
C,220.0,C_1,110.0,0.910555955433,8.72607850825,1.38133077204,0.0445297301715
C,220.0,C_1,120.0,0.804566401743,7.5226515377,1.4147571835,0.0550548623166
C,230.0,C_1,30.0,0.288252716331,2.91324940934,0.963950617934,0.0664322071578
C,230.0,C_1,40.0,0.583727399954,4.88235059712,0.695811077231,0.320868426849
C,230.0,C_1,50.0,0.751928971119,6.34633005629,0.566531869998,0.472508971058
C,230.0,C_1,60.0,0.755427890384,6.96308178653,0.653245008567,0.553390773237
C,230.0,C_1,70.0,0.735304631516,6.70747310729,1.03053635377,0.407064457968
