Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Mean_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Mean_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Mean_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
VT,-65.0,VT_1,-67.0,1.0,1.0,0.666666666667,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.828,1.0,1.0,0.827,0.999
VT,-65.0,VT_1,-64.0,1.0,1.0,0.6,0.866666666667,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.693,1.0,1.0,0.773,0.962
VT,-65.0,VT_1,-61.0,1.0,1.0,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.884,0.884,0.313,0.653,1.0,1.0,0.687,0.944
VT,-65.0,VT_1,-58.0,1.0,1.0,0.433333333333,0.833333333333,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.653,1.0,1.0,0.626,0.944
VT,-65.0,VT_1,-55.0,1.0,1.0,0.433333333333,0.8,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.614,1.0,1.0,0.626,0.923
VT,-65.0,VT_1,-52.0,1.0,1.0,0.433333333333,0.833333333333,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.653,1.0,1.0,0.626,0.944
VT,-65.0,VT_1,-49.0,0.833333333333,0.9,0.3,0.833333333333,0.0,0.0,0.568,0.0,0.653,0.735,0.147,0.653,0.944,0.979,0.494,0.944
VT,-65.0,VT_1,-46.0,0.766666666667,0.766666666667,0.366666666667,0.833333333333,0.0,0.0,0.276,0.0,0.577,0.577,0.199,0.653,0.901,0.901,0.561,0.944
VT,-65.0,VT_1,-43.0,0.433333333333,0.5,0.3,0.566666666667,0.09,0.019,0.568,0.002,0.255,0.313,0.147,0.374,0.626,0.687,0.494,0.745
VT,-65.0,VT_1,-40.0,0.4,0.333333333333,0.366666666667,0.733333333333,0.166,0.415,0.276,0.0,0.227,0.173,0.199,0.541,0.594,0.528,0.561,0.877
VT,-65.0,VT_1,-37.0,0.433333333333,0.433333333333,0.433333333333,0.533333333333,0.09,0.09,0.09,0.007,0.255,0.255,0.255,0.343,0.626,0.626,0.626,0.717
VT,-62.0,VT_1,-67.0,1.0,1.0,0.766666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.779,1.0,1.0,0.901,0.992
VT,-62.0,VT_1,-64.0,1.0,1.0,0.633333333333,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.779,1.0,1.0,0.801,0.992
VT,-62.0,VT_1,-61.0,1.0,1.0,0.6,0.9,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.735,1.0,1.0,0.773,0.979
VT,-62.0,VT_1,-58.0,1.0,1.0,0.433333333333,0.7,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.506,1.0,1.0,0.626,0.853
VT,-62.0,VT_1,-55.0,1.0,1.0,0.533333333333,0.833333333333,0.0,0.0,0.007,0.0,0.884,0.884,0.343,0.653,1.0,1.0,0.717,0.944
VT,-62.0,VT_1,-52.0,0.933333333333,1.0,0.433333333333,0.766666666667,0.0,0.0,0.09,0.0,0.779,0.884,0.255,0.577,0.992,1.0,0.626,0.901
VT,-62.0,VT_1,-49.0,0.833333333333,0.933333333333,0.366666666667,0.8,0.0,0.0,0.276,0.0,0.653,0.779,0.199,0.614,0.944,0.992,0.561,0.923
VT,-62.0,VT_1,-46.0,0.733333333333,0.833333333333,0.333333333333,0.8,0.0,0.0,0.415,0.0,0.541,0.653,0.173,0.614,0.877,0.944,0.528,0.923
VT,-62.0,VT_1,-43.0,0.5,0.5,0.3,0.633333333333,0.019,0.019,0.568,0.0,0.313,0.313,0.147,0.439,0.687,0.687,0.494,0.801
VT,-62.0,VT_1,-40.0,0.4,0.333333333333,0.366666666667,0.733333333333,0.166,0.415,0.276,0.0,0.227,0.173,0.199,0.541,0.594,0.528,0.561,0.877
VT,-62.0,VT_1,-37.0,0.433333333333,0.433333333333,0.433333333333,0.533333333333,0.09,0.09,0.09,0.007,0.255,0.255,0.255,0.343,0.626,0.626,0.626,0.717
VT,-59.0,VT_1,-67.0,1.0,1.0,0.8,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.779,1.0,1.0,0.923,0.992
VT,-59.0,VT_1,-64.0,1.0,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.614,1.0,1.0,0.853,0.923
VT,-59.0,VT_1,-61.0,1.0,1.0,0.633333333333,0.8,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.614,1.0,1.0,0.801,0.923
VT,-59.0,VT_1,-58.0,1.0,1.0,0.533333333333,0.666666666667,0.0,0.0,0.007,0.0,0.884,0.884,0.343,0.472,1.0,1.0,0.717,0.827
VT,-59.0,VT_1,-55.0,1.0,1.0,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.884,0.884,0.313,0.653,1.0,1.0,0.687,0.944
VT,-59.0,VT_1,-52.0,0.933333333333,1.0,0.466666666667,0.866666666667,0.0,0.0,0.043,0.0,0.779,0.884,0.283,0.693,0.992,1.0,0.657,0.962
VT,-59.0,VT_1,-49.0,0.833333333333,0.9,0.366666666667,0.8,0.0,0.0,0.276,0.0,0.653,0.735,0.199,0.614,0.944,0.979,0.561,0.923
VT,-59.0,VT_1,-46.0,0.7,0.8,0.433333333333,0.8,0.0,0.0,0.09,0.0,0.506,0.614,0.255,0.614,0.853,0.923,0.626,0.923
VT,-59.0,VT_1,-43.0,0.533333333333,0.466666666667,0.4,0.6,0.007,0.043,0.166,0.001,0.343,0.283,0.227,0.406,0.717,0.657,0.594,0.773
VT,-59.0,VT_1,-40.0,0.4,0.366666666667,0.366666666667,0.733333333333,0.166,0.276,0.276,0.0,0.227,0.199,0.199,0.541,0.594,0.561,0.561,0.877
VT,-59.0,VT_1,-37.0,0.433333333333,0.433333333333,0.433333333333,0.566666666667,0.09,0.09,0.09,0.002,0.255,0.255,0.255,0.374,0.626,0.626,0.626,0.745
VT,-56.0,VT_1,-67.0,1.0,1.0,0.666666666667,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.735,1.0,1.0,0.827,0.979
VT,-56.0,VT_1,-64.0,1.0,1.0,0.766666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.779,1.0,1.0,0.901,0.992
VT,-56.0,VT_1,-61.0,1.0,1.0,0.6,0.9,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.735,1.0,1.0,0.773,0.979
VT,-56.0,VT_1,-58.0,1.0,1.0,0.6,0.866666666667,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.693,1.0,1.0,0.773,0.962
VT,-56.0,VT_1,-55.0,1.0,1.0,0.4,0.966666666667,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.828,1.0,1.0,0.594,0.999
VT,-56.0,VT_1,-52.0,0.966666666667,0.966666666667,0.433333333333,0.866666666667,0.0,0.0,0.09,0.0,0.828,0.828,0.255,0.693,0.999,0.999,0.626,0.962
VT,-56.0,VT_1,-49.0,0.833333333333,0.933333333333,0.433333333333,0.733333333333,0.0,0.0,0.09,0.0,0.653,0.779,0.255,0.541,0.944,0.992,0.626,0.877
VT,-56.0,VT_1,-46.0,0.7,0.833333333333,0.4,0.766666666667,0.0,0.0,0.166,0.0,0.506,0.653,0.227,0.577,0.853,0.944,0.594,0.901
VT,-56.0,VT_1,-43.0,0.533333333333,0.466666666667,0.4,0.6,0.007,0.043,0.166,0.001,0.343,0.283,0.227,0.406,0.717,0.657,0.594,0.773
VT,-56.0,VT_1,-40.0,0.4,0.366666666667,0.366666666667,0.733333333333,0.166,0.276,0.276,0.0,0.227,0.199,0.199,0.541,0.594,0.561,0.561,0.877
VT,-56.0,VT_1,-37.0,0.433333333333,0.433333333333,0.433333333333,0.533333333333,0.09,0.09,0.09,0.007,0.255,0.255,0.255,0.343,0.626,0.626,0.626,0.717
VT,-53.0,VT_1,-67.0,1.0,1.0,0.6,0.933333333333,0.0,0.0,0.001,0.0,0.884,0.884,0.406,0.779,1.0,1.0,0.773,0.992
VT,-53.0,VT_1,-64.0,1.0,1.0,0.733333333333,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.828,1.0,1.0,0.877,0.999
VT,-53.0,VT_1,-61.0,1.0,1.0,0.566666666667,0.866666666667,0.0,0.0,0.002,0.0,0.884,0.884,0.374,0.693,1.0,1.0,0.745,0.962
VT,-53.0,VT_1,-58.0,1.0,1.0,0.566666666667,0.8,0.0,0.0,0.002,0.0,0.884,0.884,0.374,0.614,1.0,1.0,0.745,0.923
VT,-53.0,VT_1,-55.0,1.0,1.0,0.433333333333,0.866666666667,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.693,1.0,1.0,0.626,0.962
VT,-53.0,VT_1,-52.0,0.966666666667,0.966666666667,0.433333333333,0.833333333333,0.0,0.0,0.09,0.0,0.828,0.828,0.255,0.653,0.999,0.999,0.626,0.944
VT,-53.0,VT_1,-49.0,0.9,0.933333333333,0.466666666667,0.733333333333,0.0,0.0,0.043,0.0,0.735,0.779,0.283,0.541,0.979,0.992,0.657,0.877
VT,-53.0,VT_1,-46.0,0.733333333333,0.8,0.4,0.8,0.0,0.0,0.166,0.0,0.541,0.614,0.227,0.614,0.877,0.923,0.594,0.923
VT,-53.0,VT_1,-43.0,0.5,0.466666666667,0.366666666667,0.6,0.019,0.043,0.276,0.001,0.313,0.283,0.199,0.406,0.687,0.657,0.561,0.773
VT,-53.0,VT_1,-40.0,0.4,0.366666666667,0.366666666667,0.733333333333,0.166,0.276,0.276,0.0,0.227,0.199,0.199,0.541,0.594,0.561,0.561,0.877
VT,-53.0,VT_1,-37.0,0.433333333333,0.433333333333,0.433333333333,0.533333333333,0.09,0.09,0.09,0.007,0.255,0.255,0.255,0.343,0.626,0.626,0.626,0.717
VT,-50.0,VT_1,-67.0,1.0,1.0,0.666666666667,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.693,1.0,1.0,0.827,0.962
VT,-50.0,VT_1,-64.0,1.0,1.0,0.7,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.779,1.0,1.0,0.853,0.992
VT,-50.0,VT_1,-61.0,1.0,1.0,0.666666666667,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.693,1.0,1.0,0.827,0.962
VT,-50.0,VT_1,-58.0,1.0,1.0,0.533333333333,0.733333333333,0.0,0.0,0.007,0.0,0.884,0.884,0.343,0.541,1.0,1.0,0.717,0.877
VT,-50.0,VT_1,-55.0,1.0,1.0,0.4,0.833333333333,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.653,1.0,1.0,0.594,0.944
