Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
gL,1.0,gL_1,0.5,4.80704909487,0.106087563409,1.90971623237,0.0506559259848
gL,1.0,gL_1,1.5,5.16255526588,0.365068638803,1.94994670055,0.0530883782313
gL,1.0,gL_1,2.5,4.84265779423,0.414795920937,1.87993128151,0.0466125922329
gL,1.0,gL_1,3.5,5.01709246494,0.138801229179,1.78364425759,0.0505967128941
gL,1.0,gL_1,4.5,4.98092518878,0.437869905937,1.74920078849,0.0435839040748
gL,1.0,gL_1,5.5,4.88391683861,0.244819330241,1.62973847374,0.0409023271449
gL,1.0,gL_1,6.5,4.97251690633,0.405285192646,1.63372284902,0.0398391936961
gL,1.0,gL_1,7.5,5.12589297177,0.397467861368,1.55570012111,0.0346692156659
gL,1.0,gL_1,8.5,5.02380676275,0.267912083354,1.50967075964,0.034797775067
gL,1.0,gL_1,9.5,4.94553950185,-0.062950806661,1.5000935335,0.0352262371373
gL,1.0,gL_1,10.5,4.7072952616,0.295119849516,1.47016356175,0.0296663630183
gL,1.0,gL_1,11.5,4.62452307575,0.190116521047,1.45394756743,0.0220400353803
gL,1.0,gL_1,12.5,4.83420896776,0.426704522819,1.41032332477,0.0168288996502
gL,1.0,gL_1,13.5,4.48589572753,0.249539627544,1.38036521598,0.00947410931123
gL,1.0,gL_1,14.5,4.86826403046,0.176481098383,1.37711340891,0.00557696080015
gL,2.0,gL_1,0.5,4.73257487878,0.336762462026,1.95222989397,0.050705488814
gL,2.0,gL_1,1.5,4.96516571003,0.00714357317304,1.89974479237,0.0475388479955
gL,2.0,gL_1,2.5,5.13880009663,0.379841218778,1.85206163908,0.0500911411816
gL,2.0,gL_1,3.5,4.95591464275,0.400449451515,1.8011153352,0.0486918321697
gL,2.0,gL_1,4.5,5.20353916288,0.487790680005,1.74151903252,0.0445038078093
gL,2.0,gL_1,5.5,4.86460489783,0.416168880039,1.63180501835,0.0351436878854
gL,2.0,gL_1,6.5,4.89542207373,0.507650483178,1.58833528542,0.0353730523371
gL,2.0,gL_1,7.5,5.19062141506,0.4363924112,1.55608503054,0.0360975807475
gL,2.0,gL_1,8.5,5.04501555183,0.289857874005,1.50912386043,0.034797775067
gL,2.0,gL_1,9.5,4.94563245938,-0.062845238655,1.50008434529,0.0352262371373
gL,2.0,gL_1,10.5,4.7072952616,0.295119849516,1.47016356175,0.0296663630183
gL,2.0,gL_1,11.5,4.62452307575,0.190116521047,1.45394756743,0.0220400353803
gL,2.0,gL_1,12.5,4.83420896776,0.426704522819,1.41032332477,0.0168288996502
gL,2.0,gL_1,13.5,4.48589572753,0.249539627544,1.38036521598,0.00947410931123
gL,2.0,gL_1,14.5,4.86826403046,0.176481098383,1.37711340891,0.00557696080015
gL,3.0,gL_1,0.5,4.49079276247,-0.00543858542125,2.00833830785,0.0441459180284
gL,3.0,gL_1,1.5,5.04530153937,0.229419010622,1.97999860375,0.0459819530649
gL,3.0,gL_1,2.5,5.22304779302,0.584344346962,1.86131318124,0.049545290755
gL,3.0,gL_1,3.5,5.01513392058,0.339960519232,1.84966398306,0.0467160416752
gL,3.0,gL_1,4.5,5.16647527025,0.57751418201,1.71928441962,0.0408539764992
