Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Mean_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Mean_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Mean_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Mean_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
gL,1.0,gL_1,0.5,1.0,1.0,0.3,0.9,0.0,0.0,0.568,0.0,0.884,0.884,0.147,0.735,1.0,1.0,0.494,0.979
gL,1.0,gL_1,1.5,1.0,1.0,0.366666666667,0.9,0.0,0.0,0.276,0.0,0.884,0.884,0.199,0.735,1.0,1.0,0.561,0.979
gL,1.0,gL_1,2.5,1.0,1.0,0.4,0.833333333333,0.0,0.0,0.166,0.0,0.884,0.884,0.227,0.653,1.0,1.0,0.594,0.944
gL,1.0,gL_1,3.5,1.0,1.0,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.884,0.884,0.313,0.653,1.0,1.0,0.687,0.944
gL,1.0,gL_1,4.5,0.966666666667,1.0,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.828,0.884,0.313,0.653,0.999,1.0,0.687,0.944
gL,1.0,gL_1,5.5,0.966666666667,1.0,0.566666666667,0.833333333333,0.0,0.0,0.002,0.0,0.828,0.884,0.374,0.653,0.999,1.0,0.745,0.944
gL,1.0,gL_1,6.5,0.933333333333,1.0,0.5,0.8,0.0,0.0,0.019,0.0,0.779,0.884,0.313,0.614,0.992,1.0,0.687,0.923
gL,1.0,gL_1,7.5,0.966666666667,1.0,0.5,0.8,0.0,0.0,0.019,0.0,0.828,0.884,0.313,0.614,0.999,1.0,0.687,0.923
gL,1.0,gL_1,8.5,0.9,0.966666666667,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.735,0.828,0.343,0.506,0.979,0.999,0.717,0.853
gL,1.0,gL_1,9.5,0.9,0.9,0.466666666667,0.733333333333,0.0,0.0,0.043,0.0,0.735,0.735,0.283,0.541,0.979,0.979,0.657,0.877
gL,1.0,gL_1,10.5,0.9,0.9,0.533333333333,0.633333333333,0.0,0.0,0.007,0.0,0.735,0.735,0.343,0.439,0.979,0.979,0.717,0.801
gL,1.0,gL_1,11.5,0.766666666667,0.866666666667,0.5,0.666666666667,0.0,0.0,0.019,0.0,0.577,0.693,0.313,0.472,0.901,0.962,0.687,0.827
gL,1.0,gL_1,12.5,0.7,0.766666666667,0.533333333333,0.666666666667,0.0,0.0,0.007,0.0,0.506,0.577,0.343,0.472,0.853,0.901,0.717,0.827
gL,1.0,gL_1,13.5,0.533333333333,0.733333333333,0.633333333333,0.533333333333,0.007,0.0,0.0,0.007,0.343,0.541,0.439,0.343,0.717,0.877,0.801,0.717
gL,1.0,gL_1,14.5,0.466666666667,0.533333333333,0.533333333333,0.4,0.043,0.007,0.007,0.166,0.283,0.343,0.343,0.227,0.657,0.717,0.717,0.594
gL,2.0,gL_1,0.5,1.0,1.0,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.884,0.884,0.313,0.653,1.0,1.0,0.687,0.944
gL,2.0,gL_1,1.5,1.0,1.0,0.433333333333,0.733333333333,0.0,0.0,0.09,0.0,0.884,0.884,0.255,0.541,1.0,1.0,0.626,0.877
gL,2.0,gL_1,2.5,1.0,1.0,0.366666666667,0.766666666667,0.0,0.0,0.276,0.0,0.884,0.884,0.199,0.577,1.0,1.0,0.561,0.901
gL,2.0,gL_1,3.5,1.0,1.0,0.466666666667,0.9,0.0,0.0,0.043,0.0,0.884,0.884,0.283,0.735,1.0,1.0,0.657,0.979
gL,2.0,gL_1,4.5,0.966666666667,1.0,0.466666666667,0.833333333333,0.0,0.0,0.043,0.0,0.828,0.884,0.283,0.653,0.999,1.0,0.657,0.944
gL,2.0,gL_1,5.5,0.966666666667,1.0,0.533333333333,0.833333333333,0.0,0.0,0.007,0.0,0.828,0.884,0.343,0.653,0.999,1.0,0.717,0.944
gL,2.0,gL_1,6.5,0.933333333333,1.0,0.5,0.8,0.0,0.0,0.019,0.0,0.779,0.884,0.313,0.614,0.992,1.0,0.687,0.923
gL,2.0,gL_1,7.5,0.933333333333,1.0,0.466666666667,0.8,0.0,0.0,0.043,0.0,0.779,0.884,0.283,0.614,0.992,1.0,0.657,0.923
gL,2.0,gL_1,8.5,0.9,0.966666666667,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.735,0.828,0.343,0.506,0.979,0.999,0.717,0.853
gL,2.0,gL_1,9.5,0.9,0.9,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.735,0.735,0.313,0.541,0.979,0.979,0.687,0.877
gL,2.0,gL_1,10.5,0.9,0.9,0.533333333333,0.633333333333,0.0,0.0,0.007,0.0,0.735,0.735,0.343,0.439,0.979,0.979,0.717,0.801
gL,2.0,gL_1,11.5,0.766666666667,0.866666666667,0.5,0.666666666667,0.0,0.0,0.019,0.0,0.577,0.693,0.313,0.472,0.901,0.962,0.687,0.827
