Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
delay_CI_CI,0.5,14.6527143899,3.90603456104,0.783440329115,0.12709602031
delay_CI_CI,0.75,14.8701141155,3.87636789829,0.791480949938,0.127177078796
delay_CI_CI,1.0,14.6672847012,3.87624115727,0.780329556702,0.125246236579
delay_CI_CI,1.25,14.553316225,3.72716027089,0.791642918093,0.124452784255
delay_CI_CI,1.5,14.2748027058,3.7342173276,0.796477047522,0.12160552452
delay_CI_CI,1.75,14.4327920052,3.71089837746,0.801534649897,0.127207661105
delay_CI_CI,2.0,14.3332000415,3.74650740566,0.808933450034,0.123943149269
delay_CI_CI,2.25,14.1043097866,3.64322714073,0.79853462233,0.120891649056
delay_CI_CI,2.5,14.2841424001,3.7266215231,0.795700955394,0.123191023362
delay_CI_CI,2.75,14.3891390152,3.75064310445,0.815381267056,0.133203183268
delay_CI_CI,3.0,14.4089068299,3.65454999898,0.81837470514,0.13146089464
delay_CI_CI,3.25,14.4690282908,3.72122194017,0.830478234189,0.128293248769
delay_CI_CI,3.5,13.9682862147,3.68926600468,0.829366487646,0.117798812146
delay_CI_CI,3.75,14.2277795794,3.72242199238,0.836281655547,0.132565966674
delay_CI_CI,4.0,14.4147897255,3.74406616065,0.845556038447,0.135749226089
delay_CI_CI,4.25,14.4342923607,3.64040431201,0.845599045289,0.138563009404
delay_CI_CI,4.5,14.3869282253,3.70932552731,0.842318761137,0.134548110322
delay_CI_CI,4.75,14.0294423464,3.64686363506,0.837533885494,0.139576430019
delay_CI_CI,5.0,14.2066757322,3.81176410546,0.843798956806,0.143302687414
delay_CI_CI,5.25,14.3871260811,3.78703131318,0.86219739432,0.140429896175
delay_CI_CI,5.5,14.5707606913,3.65120169597,0.875842904582,0.137556191946
delay_CI_CI,5.75,14.3324916395,3.7347909319,0.870038658962,0.134723112626
delay_CI_CI,6.0,13.8953101385,3.64995480863,0.885777724613,0.128033640828
delay_CI_CI,6.25,14.1113706506,3.68053534333,0.901591272728,0.141381057235
delay_CI_CI,6.5,13.9866543732,3.62041702268,0.901409265441,0.137402151148
delay_CI_CI,6.75,14.602282824,3.7372574003,0.928099863388,0.138991237042
delay_CI_CI,7.0,14.5573696097,3.69168704981,0.958325349514,0.138096034026
delay_CI_CI,7.25,14.3584026189,3.596317262,0.9330598179,0.134968728468
delay_CI_CI,7.5,14.3585612427,3.66652235052,0.944874635628,0.138613816584
delay_CI_CI,7.75,14.5188612696,3.75139129286,0.95271020809,0.13290044125
delay_CI_CI,8.0,14.5548750591,3.70045521576,0.978387567329,0.137806135787
delay_CI_CI,8.25,14.6931768742,3.81829210221,0.97394046563,0.134093089721
delay_CI_CI,8.5,14.4093518172,3.78295715461,0.994214180274,0.136081221303
delay_CI_CI,8.75,14.4334460507,3.80006023414,0.991366888357,0.12730492544
delay_CI_CI,9.0,14.589106701,3.86233728993,1.00746845469,0.135908799521
delay_CI_CI,9.25,14.8185202859,3.78495422154,1.05683382046,0.136074721664
delay_CI_CI,9.5,14.5936223409,3.72888310969,1.05663107367,0.130975230114
delay_CI_CI,9.75,14.6715388597,3.82033406194,1.06173787354,0.128772602984
delay_CI_CI,10.0,14.8710715634,3.8545366923,1.0896131833,0.116505171747
delay_CI_CI,10.25,14.7455945971,3.9427748448,1.08474933775,0.126847027591
delay_CI_CI,10.5,14.3178697174,3.82165102348,1.06865840611,0.123189814578
delay_CI_CI,10.75,14.7031451102,3.94672005821,1.11685730075,0.118684729069
delay_CI_CI,11.0,14.7218698356,3.95074108111,1.09988887375,0.124197316737
delay_CI_CI,11.25,14.5830690704,3.88964159863,1.09097488029,0.108630185502
delay_CI_CI,11.5,14.4498272435,3.81558621327,1.09521722125,0.106231074301
delay_CI_CI,11.75,14.9311432257,3.96274554052,1.09431605658,0.112304669162
delay_CI_CI,12.0,14.8664389039,3.74665192433,1.10658254393,0.104597202525
delay_CI_CI,12.25,14.69898341,3.99739283728,1.15687220676,0.111790700308
delay_CI_CI,12.5,14.7121732506,3.97327928686,1.10329123446,0.111472831438
delay_CI_CI,12.75,14.9133860301,3.91571644281,1.12975022569,0.111441618092
delay_CI_CI,13.0,14.7061307497,3.9343801722,1.13503158335,0.101299743836
delay_CI_CI,13.25,14.905564624,3.84461601366,1.14508781566,0.102719744297
delay_CI_CI,13.5,14.8170489708,3.90976522811,1.14510787589,0.0987799929989
delay_CI_CI,13.75,14.9155882117,3.98104127733,1.18090105701,0.104471871735
delay_CI_CI,14.0,14.9172132573,3.95815925628,1.18830097281,0.106766912565
delay_CI_CI,14.25,14.9798960971,3.95973296279,1.16704992301,0.107470147164
delay_CI_CI,14.5,15.1649907305,3.96630657267,1.14148384377,0.104971904754
delay_CI_CI,14.75,15.1873641416,3.99859837802,1.1820992674,0.1052063612
delay_CI_CI,15.0,15.0411409109,3.89032069376,1.16270885996,0.0944441932711
delay_CI_CI,15.25,14.9836951256,3.94737551242,1.1920766076,0.0997176317034
delay_CI_CI,15.5,14.7443188249,3.94692521323,1.21734159781,0.102709339984
delay_CI_CI,15.75,15.1741397082,3.88534516569,1.1958131527,0.0986046966578
delay_CI_CI,16.0,15.0864300128,3.97849190601,1.20639277085,0.100597895952
delay_CI_CI,16.25,15.1829328055,3.99624786813,1.26404734945,0.0902284226899
delay_CI_CI,16.5,15.073231799,3.90981752292,1.22293416484,0.100407380189
delay_CI_CI,16.75,14.9853356729,3.94768769416,1.22592560366,0.0870848963884
delay_CI_CI,17.0,15.174694988,3.96829616368,1.19761005486,0.0943039796089
delay_CI_CI,17.25,14.9779518833,3.91638372318,1.24198326459,0.0888212476573
